place,date,daily_cases,daily_recovered,daily_deaths,total_cases,total_recovered,total_deaths,total_active,r_est,r_lower,r_upper,abbrev,first_dose,second_dose,total_doses,pct_one_dose,pct_two_doses,daily_doses,precaution_dose
Andaman and Nicobar Islands,2020-05-19,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-20,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-21,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-22,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-23,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-24,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-25,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-26,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-27,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-28,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-29,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-30,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-05-31,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-01,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-02,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-03,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-04,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-05,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-06,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-07,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-08,0,0,0,33,33,0,0,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-09,1,0,0,34,33,0,1,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-10,1,0,0,35,33,0,2,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-11,3,0,0,38,33,0,5,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-12,0,0,0,38,33,0,5,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-13,0,0,0,38,33,0,5,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-14,2,0,0,40,33,0,7,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-15,1,0,0,41,33,0,8,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-16,3,0,0,44,33,0,11,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-17,0,0,0,44,33,0,11,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-18,1,2,0,45,35,0,10,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-19,2,0,0,47,35,0,12,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-20,0,0,0,47,35,0,12,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-21,1,2,0,48,37,0,11,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-22,0,0,0,48,37,0,11,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-23,2,3,0,50,40,0,10,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-24,6,1,0,56,41,0,15,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-25,2,0,0,58,41,0,17,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-26,14,2,0,72,43,0,29,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-27,0,0,0,72,43,0,29,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-28,11,2,0,83,45,0,38,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-29,7,0,0,90,45,0,45,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-06-30,7,0,0,97,45,0,52,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-07-01,3,5,0,100,50,0,50,3.16031162771065,2.28713319511976,4.17247850710961,an,,,,,,,
Andaman and Nicobar Islands,2020-07-02,9,1,0,109,51,0,58,2.1096027918967,1.49288049273084,2.83128825512382,an,,,,,,,
Andaman and Nicobar Islands,2020-07-03,7,3,0,116,54,0,62,1.54392092383353,1.0692101217436,2.10446726542487,an,,,,,,,
Andaman and Nicobar Islands,2020-07-04,3,12,0,119,66,0,53,1.19299191575594,0.804906635846319,1.65622421216224,an,,,,,,,
Andaman and Nicobar Islands,2020-07-05,6,6,0,125,72,0,53,1.06385372680252,0.712479537383666,1.48454536309413,an,,,,,,,
Andaman and Nicobar Islands,2020-07-06,16,2,0,141,74,0,67,1.4761969759604,1.06391293583072,1.95494626820094,an,,,,,,,
Andaman and Nicobar Islands,2020-07-07,6,0,0,147,74,0,73,1.33027257698127,0.945953844545154,1.77908501857263,an,,,,,,,
Andaman and Nicobar Islands,2020-07-08,2,0,0,149,74,0,75,1.1101232320392,0.768792609618791,1.51317205845839,an,,,,,,,
Andaman and Nicobar Islands,2020-07-09,7,9,0,156,83,0,73,1.19488374410481,0.845570853199081,1.6036480061162,an,,,,,,,
Andaman and Nicobar Islands,2020-07-10,0,9,0,156,92,0,64,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-07-11,0,0,0,156,92,0,64,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-07-12,7,8,0,163,100,0,63,1.19660371688002,0.850902218061444,1.60031844804355,an,,,,,,,
Andaman and Nicobar Islands,2020-07-13,3,9,0,166,109,0,57,0.779206860274841,0.509003791266702,1.10602215218039,an,,,,,,,
Andaman and Nicobar Islands,2020-07-14,5,20,0,171,129,0,42,0.738308411145729,0.477794275580125,1.05460261665211,an,,,,,,,
Andaman and Nicobar Islands,2020-07-15,5,1,0,176,130,0,46,0.83801338643423,0.556853809388637,1.17572028414781,an,,,,,,,
Andaman and Nicobar Islands,2020-07-16,4,3,0,180,133,0,47,0.769046303823176,0.49768621903217,1.09850874254563,an,,,,,,,
Andaman and Nicobar Islands,2020-07-17,0,0,0,180,133,0,47,,,,an,,,,,,,
Andaman and Nicobar Islands,2020-07-18,4,3,0,184,136,0,48,0.696878355891152,0.436729955463891,1.01683202079418,an,,,,,,,
Andaman and Nicobar Islands,2020-07-19,15,0,0,199,136,0,63,1.11617955227286,0.772986787438645,1.52142722715513,an,,,,,,,
Andaman and Nicobar Islands,2020-07-20,4,6,0,203,142,0,61,1.12106837180128,0.771691883487776,1.534656043627,an,,,,,,,
Andaman and Nicobar Islands,2020-07-21,5,8,0,208,150,0,58,1.13054534592649,0.778215396412054,1.54762928948994,an,,,,,,,
Andaman and Nicobar Islands,2020-07-22,9,4,0,217,154,0,63,1.29591985862679,0.917070021199126,1.73924811315447,an,,,,,,,
Andaman and Nicobar Islands,2020-07-23,19,7,0,236,161,0,75,1.78307896737698,1.33564850387842,2.29415252103462,an,,,,,,,
Andaman and Nicobar Islands,2020-07-24,19,4,0,255,165,0,90,1.84829074464976,1.39987736039853,2.35805121298702,an,,,,,,,
Andaman and Nicobar Islands,2020-07-25,31,2,0,286,167,0,119,2.53214829078624,2.01974064469511,3.10160998676375,an,,,,,,,
Andaman and Nicobar Islands,2020-07-26,28,4,0,314,171,0,143,2.90958987555778,2.3844791192285,3.48617668060063,an,,,,,,,
Andaman and Nicobar Islands,2020-07-27,20,12,1,334,183,1,150,2.76048380655349,2.28492541095683,3.28033037835356,an,,,,,,,
Andaman and Nicobar Islands,2020-07-28,25,4,0,359,187,1,171,2.43025242745554,2.02135823320952,2.87625117335134,an,,,,,,,
Andaman and Nicobar Islands,2020-07-29,65,5,1,424,192,2,230,2.80709846507745,2.40097936388711,3.24448373933003,an,,,,,,,
Andaman and Nicobar Islands,2020-07-30,42,0,1,466,192,3,271,2.5382507379605,2.18192696253844,2.92112870968272,an,,,,,,,
Andaman and Nicobar Islands,2020-07-31,78,13,2,544,205,5,334,2.72854328752617,2.38799850752111,3.09145639797184,an,,,,,,,
Andaman and Nicobar Islands,2020-08-01,88,12,2,632,217,7,408,2.9879764914259,2.65885855112065,3.33602011312887,an,,,,,,,
Andaman and Nicobar Islands,2020-08-02,98,16,1,730,233,8,489,3.11122202955442,2.80305602579938,3.43522799564189,an,,,,,,,
Andaman and Nicobar Islands,2020-08-03,96,21,2,826,254,10,562,2.77715904904694,2.51260221391373,3.05476761943093,an,,,,,,,
Andaman and Nicobar Islands,2020-08-04,98,14,2,924,268,12,644,2.59990359516865,2.36746541601283,2.84306996734676,an,,,,,,,
Andaman and Nicobar Islands,2020-08-05,99,49,2,1023,317,14,692,2.26989677864151,2.0713479482979,2.47740234701876,an,,,,,,,
Andaman and Nicobar Islands,2020-08-06,96,29,2,1119,346,16,757,1.96023833715115,1.79015462198605,2.13793013328313,an,,,,,,,
Andaman and Nicobar Islands,2020-08-07,99,70,3,1218,416,19,783,1.70864492244041,1.56053939954571,1.86336848188706,an,,,,,,,
Andaman and Nicobar Islands,2020-08-08,129,75,1,1347,491,20,836,1.62712133805665,1.49051366379533,1.76963292167162,an,,,,,,,
Andaman and Nicobar Islands,2020-08-09,139,148,0,1486,639,20,827,1.59871657147254,1.4693681733131,1.73344342647072,an,,,,,,,
Andaman and Nicobar Islands,2020-08-10,135,61,0,1621,700,20,901,1.56740401223303,1.44437972869291,1.69538453288825,an,,,,,,,
Andaman and Nicobar Islands,2020-08-11,139,40,1,1760,740,21,999,1.55708215702007,1.43894962001204,1.67980855597517,an,,,,,,,
Andaman and Nicobar Islands,2020-08-12,136,80,0,1896,820,21,1055,1.53215381438427,1.41906244244055,1.64951920766364,an,,,,,,,
Andaman and Nicobar Islands,2020-08-13,137,95,1,2033,915,22,1096,1.44573424722401,1.33963295625027,1.55582152963444,an,,,,,,,
Andaman and Nicobar Islands,2020-08-14,149,108,2,2182,1023,24,1135,1.37322801800333,1.27315975521489,1.47702805329194,an,,,,,,,
Andaman and Nicobar Islands,2020-08-15,120,96,0,2302,1119,24,1159,1.26712721432773,1.17379999185598,1.36397360593188,an,,,,,,,
Andaman and Nicobar Islands,2020-08-16,93,98,4,2395,1217,28,1150,1.12406986330019,1.03839568218936,1.21309167223726,an,,,,,,,
Andaman and Nicobar Islands,2020-08-17,46,99,1,2441,1316,29,1096,0.928885999637428,0.852595888531596,1.00839838610914,an,,,,,,,
Andaman and Nicobar Islands,2020-08-18,84,96,1,2525,1412,30,1083,0.820781180318364,0.749918451935966,0.894797222489404,an,,,,,,,
Andaman and Nicobar Islands,2020-08-19,75,108,0,2600,1520,30,1050,0.696516174639722,0.631412566685133,0.764768202842613,an,,,,,,,
Andaman and Nicobar Islands,2020-08-20,76,109,1,2676,1629,31,1016,0.633757710075046,0.571229158433308,0.699487063204182,an,,,,,,,
Andaman and Nicobar Islands,2020-08-21,67,106,1,2743,1735,32,976,0.610016257898409,0.54768799241366,0.675654893234218,an,,,,,,,
Andaman and Nicobar Islands,2020-08-22,61,109,0,2804,1844,32,928,0.666583173213602,0.599855715083962,0.736778935633512,an,,,,,,,
Andaman and Nicobar Islands,2020-08-23,52,110,1,2856,1954,33,869,0.641277310973763,0.574144338322598,0.712068452362173,an,,,,,,,
Andaman and Nicobar Islands,2020-08-24,44,129,2,2900,2083,35,782,0.613534633921375,0.546173682566589,0.684755865398774,an,,,,,,,
Andaman and Nicobar Islands,2020-08-25,41,139,2,2941,2222,37,682,0.573530472053813,0.506671884060429,0.644472323533242,an,,,,,,,
Andaman and Nicobar Islands,2020-08-26,40,78,4,2981,2300,41,640,0.5473826096633,0.480179767916961,0.618922680243381,an,,,,,,,
Andaman and Nicobar Islands,2020-08-27,33,65,1,3014,2365,42,607,0.516136952402462,0.448839874109362,0.588066199108553,an,,,,,,,
Andaman and Nicobar Islands,2020-08-28,32,70,0,3046,2435,42,569,0.501718315928883,0.433085310230704,0.575325402869605,an,,,,,,,
Andaman and Nicobar Islands,2020-08-29,31,75,2,3077,2510,44,523,0.504788309957261,0.433353569663682,0.581592917894136,an,,,,,,,
Andaman and Nicobar Islands,2020-08-30,23,67,1,3100,2577,45,478,0.491759081624526,0.418513111728577,0.570824567614152,an,,,,,,,
Andaman and Nicobar Islands,2020-08-31,28,61,1,3128,2638,46,444,0.49410500629948,0.41770841561306,0.576822747055682,an,,,,,,,
Andaman and Nicobar Islands,2020-09-01,28,67,0,3156,2705,46,405,0.519664682192048,0.437983842399296,0.608225995217515,an,,,,,,,
Andaman and Nicobar Islands,2020-09-02,26,44,1,3182,2749,47,386,0.542187627301599,0.455202267559293,0.636665897861283,an,,,,,,,
Andaman and Nicobar Islands,2020-09-03,37,65,1,3219,2814,48,357,0.615111773543683,0.518428570025747,0.719939190509303,an,,,,,,,
Andaman and Nicobar Islands,2020-09-04,34,40,1,3253,2854,49,350,0.716868773202568,0.608119013669688,0.834432385013941,an,,,,,,,
Andaman and Nicobar Islands,2020-09-05,35,41,1,3288,2895,50,343,0.803323645026626,0.684028135872098,0.932066729423915,an,,,,,,,
Andaman and Nicobar Islands,2020-09-06,40,47,0,3328,2942,50,336,0.912559089686173,0.781638594270394,1.05346771298308,an,,,,,,,
Andaman and Nicobar Islands,2020-09-07,27,46,0,3355,2988,50,317,0.955765899230529,0.819025908461566,1.10290682846442,an,,,,,,,
Andaman and Nicobar Islands,2020-09-08,33,38,0,3388,3026,50,312,0.957825202850157,0.819251114581322,1.1070677906135,an,,,,,,,
Andaman and Nicobar Islands,2020-09-09,34,43,1,3422,3069,51,302,0.972851027115884,0.832103066315907,1.12443484884344,an,,,,,,,
Andaman and Nicobar Islands,2020-09-10,39,43,0,3461,3112,51,298,1.00638493155768,0.862402951909723,1.16131870154843,an,,,,,,,
Andaman and Nicobar Islands,2020-09-11,29,36,0,3490,3148,51,291,0.949184942227184,0.809061029992792,1.10033493885393,an,,,,,,,
Andaman and Nicobar Islands,2020-09-12,27,45,0,3517,3193,51,273,0.953277847618086,0.812549718133437,1.10507960620239,an,,,,,,,
Andaman and Nicobar Islands,2020-09-13,25,41,0,3542,3234,51,257,0.912202322730426,0.774248801139328,1.06129898505967,an,,,,,,,
Andaman and Nicobar Islands,2020-09-14,11,35,1,3553,3269,52,232,0.78306985423521,0.655188071396539,0.922183179910803,an,,,,,,,
Andaman and Nicobar Islands,2020-09-15,17,40,0,3570,3309,52,209,0.661673564941007,0.543815199401362,0.790919113999536,an,,,,,,,
Andaman and Nicobar Islands,2020-09-16,19,27,0,3589,3336,52,201,0.617963707983162,0.5027999372973,0.744825154728488,an,,,,,,,
Andaman and Nicobar Islands,2020-09-17,11,33,0,3600,3369,52,179,0.541244767165435,0.431718023367871,0.662966770639915,an,,,,,,,
Andaman and Nicobar Islands,2020-09-18,27,36,0,3627,3405,52,170,0.584746227730451,0.467721503985564,0.714640233866865,an,,,,,,,
Andaman and Nicobar Islands,2020-09-19,13,22,0,3640,3427,52,161,0.637720579719384,0.511470552979669,0.777687047474507,an,,,,,,,
Andaman and Nicobar Islands,2020-09-20,7,15,0,3647,3442,52,153,0.603290822928602,0.476876360541638,0.744343222182628,an,,,,,,,
Andaman and Nicobar Islands,2020-09-21,22,18,0,3669,3460,52,157,0.667285462518595,0.529920976964715,0.820241500968535,an,,,,,,,
Andaman and Nicobar Islands,2020-09-22,18,10,0,3687,3470,52,165,0.771909815561854,0.61909424404899,0.941328043145543,an,,,,,,,
Andaman and Nicobar Islands,2020-09-23,21,15,0,3708,3485,52,171,0.760970769065153,0.605222635539256,0.93428282852502,an,,,,,,,
Andaman and Nicobar Islands,2020-09-24,32,9,0,3740,3494,52,194,0.981930246226519,0.799798312472858,1.18246561956772,an,,,,,,,
Andaman and Nicobar Islands,2020-09-25,15,25,0,3755,3519,52,184,1.09981357130301,0.903061382643293,1.31566671904819,an,,,,,,,
Andaman and Nicobar Islands,2020-09-26,15,23,0,3770,3542,52,176,1.04661732099671,0.853391346230451,1.25926693202372,an,,,,,,,
Andaman and Nicobar Islands,2020-09-27,20,2,1,3790,3544,53,193,1.06847751391915,0.873023555582643,1.28337973308798,an,,,,,,,
Andaman and Nicobar Islands,2020-09-28,9,29,0,3799,3573,53,173,0.942403071841919,0.759709885509074,1.14448537864784,an,,,,,,,
Andaman and Nicobar Islands,2020-09-29,18,5,0,3817,3578,53,186,0.796595977427554,0.629676063517244,0.982844084612105,an,,,,,,,
Andaman and Nicobar Islands,2020-09-30,14,21,0,3831,3599,53,179,0.792011122974538,0.62504279258044,0.978445737449546,an,,,,,,,
Andaman and Nicobar Islands,2020-10-01,13,15,0,3844,3614,53,177,0.787420950528646,0.619356528441437,0.975354430589161,an,,,,,,,
Andaman and Nicobar Islands,2020-10-02,10,8,0,3854,3622,53,179,0.701299636350833,0.541248253597281,0.881766379522945,an,,,,,,,
Andaman and Nicobar Islands,2020-10-03,10,11,0,3864,3633,53,178,0.735612065646487,0.568922318279703,0.923391933922035,an,,,,,,,
Andaman and Nicobar Islands,2020-10-04,16,7,0,3880,3640,53,187,0.742073709340549,0.571487179569292,0.934599715962982,an,,,,,,,
Andaman and Nicobar Islands,2020-10-05,15,10,1,3895,3650,54,191,0.78520664283837,0.606005909771562,0.987265332455686,an,,,,,,,
Andaman and Nicobar Islands,2020-10-06,13,19,0,3908,3669,54,185,0.817392792707207,0.630846500730906,1.02773400428946,an,,,,,,,
Andaman and Nicobar Islands,2020-10-07,23,18,0,3931,3687,54,190,1.01732086361187,0.804149926543338,1.25517554856639,an,,,,,,,
Andaman and Nicobar Islands,2020-10-08,17,11,1,3948,3698,55,195,1.14030266111311,0.910833264894014,1.39516320049515,an,,,,,,,
Andaman and Nicobar Islands,2020-10-09,24,17,0,3972,3715,55,202,1.25969361729329,1.01673532715426,1.52829054271483,an,,,,,,,
Andaman and Nicobar Islands,2020-10-10,16,20,0,3988,3735,55,198,1.26215235500329,1.01994757919846,1.52977273594649,an,,,,,,,
Andaman and Nicobar Islands,2020-10-11,13,20,0,4001,3755,55,191,1.23321099226212,0.996560012119454,1.4946947935039,an,,,,,,,
Andaman and Nicobar Islands,2020-10-12,18,6,0,4019,3761,55,203,1.1345675112173,0.911150875337591,1.38211307575125,an,,,,,,,
Andaman and Nicobar Islands,2020-10-13,13,12,0,4032,3773,55,204,1.05451136701801,0.842306226270912,1.29019733439123,an,,,,,,,
Andaman and Nicobar Islands,2020-10-14,10,14,0,4042,3787,55,200,0.863773041794582,0.674613911971095,1.07595449560792,an,,,,,,,
Andaman and Nicobar Islands,2020-10-15,16,21,0,4058,3808,55,195,0.857102512950349,0.669404173601425,1.06764538528524,an,,,,,,,
Andaman and Nicobar Islands,2020-10-16,10,14,1,4068,3822,56,190,0.827662513497423,0.642712327101385,1.03564475089125,an,,,,,,,
Andaman and Nicobar Islands,2020-10-17,11,17,0,4079,3839,56,184,0.755041308934102,0.577546774348975,0.955955244085427,an,,,,,,,
Andaman and Nicobar Islands,2020-10-18,25,20,0,4104,3859,56,189,0.925415270809503,0.725377847165729,1.14944289330204,an,,,,,,,
Andaman and Nicobar Islands,2020-10-19,18,24,0,4122,3883,56,183,1.05579643801232,0.838454771359215,1.29780746573409,an,,,,,,,
Andaman and Nicobar Islands,2020-10-20,15,10,0,4137,3893,56,188,1.06042033260989,0.840847373448683,1.30508012953009,an,,,,,,,
Andaman and Nicobar Islands,2020-10-21,27,11,0,4164,3904,56,204,1.29034925066727,1.04638631763762,1.55949257210191,an,,,,,,,
Andaman and Nicobar Islands,2020-10-22,16,24,1,4180,3928,57,195,1.34666050616504,1.09804070620304,1.62027229060285,an,,,,,,,
Andaman and Nicobar Islands,2020-10-23,23,8,1,4203,3936,58,209,1.28630367536503,1.04658800988431,1.55036828482763,an,,,,,,,
Andaman and Nicobar Islands,2020-10-24,18,23,0,4221,3959,58,204,1.24111385321011,1.00981976693987,1.49590146769279,an,,,,,,,
Andaman and Nicobar Islands,2020-10-25,20,15,0,4241,3974,58,209,1.25798599804572,1.02890791377824,1.50974382443575,an,,,,,,,
Andaman and Nicobar Islands,2020-10-26,8,14,0,4249,3988,58,203,0.996972901052714,0.79744963301957,1.21843786822284,an,,,,,,,
Andaman and Nicobar Islands,2020-10-27,21,22,0,4270,4010,58,202,1.0264237759487,0.826412396945355,1.24778480656414,an,,,,,,,
Andaman and Nicobar Islands,2020-10-28,15,20,0,4285,4030,58,197,0.925197275861462,0.736914465814854,1.13457745786031,an,,,,,,,
Andaman and Nicobar Islands,2020-10-29,16,15,1,4301,4045,59,197,0.899269655668917,0.714149912225184,1.10540141149977,an,,,,,,,
Andaman and Nicobar Islands,2020-10-30,12,22,0,4313,4067,59,187,0.814691225274588,0.638587870478464,1.01191440066497,an,,,,,,,
Andaman and Nicobar Islands,2020-10-31,15,24,0,4328,4091,59,178,0.904494443868703,0.717207841115316,1.11317907594071,an,,,,,,,
Andaman and Nicobar Islands,2020-11-01,8,12,1,4336,4103,60,173,0.772396279616227,0.598596507496138,0.968010622757146,an,,,,,,,
Andaman and Nicobar Islands,2020-11-02,12,20,0,4348,4123,60,165,0.752957616047757,0.579869113962743,0.948307378677733,an,,,,,,,
