Updated On,State,RT PCR Tests,Antigen Tests,Other Tests,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,People in ICU,People on Ventilators,Num Isolation Beds,Num ICU Beds,Num Ventilators,Total PPE,Total N95 Masks,Corona Enquiry Calls,Num Calls State Helpline,Source1,Source2,Source3,Test positivity rate,Tests per thousand,Tests per million,Tests per positive case,Population NCP 2019 Projection,...32
22/06/2020,Andaman and Nicobar Islands,NA,NA,NA,13511,Samples Sent,48,NA,71,NA,3,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/303.pdf,NA,NA,0.36%,34.03,34033,281,397000,NA
23/06/2020,Andaman and Nicobar Islands,NA,NA,NA,13723,Samples Sent,50,NA,188,NA,3,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/304.pdf,NA,NA,0.36%,34.57,34567,274,397000,NA
24/06/2020,Andaman and Nicobar Islands,NA,NA,NA,13994,Samples Sent,56,NA,265,NA,3,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/305.pdf,NA,NA,0.40%,35.25,35249,250,397000,NA
25/06/2020,Andaman and Nicobar Islands,NA,NA,NA,14277,Samples Sent,59,NA,223,NA,6,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/306.pdf,NA,NA,0.41%,35.96,35962,242,397000,NA
26/06/2020,Andaman and Nicobar Islands,NA,NA,NA,14583,Samples Sent,72,NA,224,NA,8,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/308.pdf,https://dhs.andaman.gov.in/,NA,0.49%,36.73,36733,203,397000,NA
27/06/2020,Andaman and Nicobar Islands,NA,NA,NA,14851,Samples Sent,73,NA,217,NA,8,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/309.pdf,NA,NA,0.49%,37.41,37408,203,397000,NA
28/06/2020,Andaman and Nicobar Islands,NA,NA,NA,15094,Samples Sent,83,NA,243,NA,8,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/310.pdf,NA,NA,0.55%,38.02,38020,182,397000,NA
29/06/2020,Andaman and Nicobar Islands,NA,NA,NA,15410,Samples Sent,90,NA,281,NA,8,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/311.pdf,NA,NA,0.58%,38.82,38816,171,397000,NA
30/06/2020,Andaman and Nicobar Islands,NA,NA,NA,15709,Samples Sent,97,NA,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/312.pdf,NA,NA,0.62%,39.57,39569,162,397000,NA
01/07/2020,Andaman and Nicobar Islands,NA,NA,NA,15982,Samples Sent,100,NA,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/313.pdf,NA,NA,0.63%,40.26,40257,160,397000,NA
02/07/2020,Andaman and Nicobar Islands,NA,NA,NA,16278,Samples Sent,109,NA,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/317.pdf,NA,NA,0.67%,41,41003,149,397000,NA
03/07/2020,Andaman and Nicobar Islands,NA,NA,NA,16626,Samples Sent,116,NA,323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/318.pdf,https://dhs.andaman.gov.in/,NA,0.70%,41.88,41879,143,397000,NA
04/07/2020,Andaman and Nicobar Islands,NA,NA,NA,16832,Samples Sent,119,NA,184,NA,28,Facility,8359,NA,NA,176,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/319.pdf,https://dhs.andaman.gov.in/,NA,0.71%,42.4,42398,141,397000,NA
05/07/2020,Andaman and Nicobar Islands,NA,NA,NA,16909,Samples Sent,125,NA,77,NA,30,Facility,8676,NA,NA,176,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/320.pdf,https://dhs.andaman.gov.in/,NA,0.74%,42.59,42592,135,397000,NA
06/07/2020,Andaman and Nicobar Islands,NA,NA,NA,17095,Samples Sent,141,NA,105,NA,30,Facility,8816,NA,NA,176,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/321.pdf,https://dhs.andaman.gov.in/,NA,0.82%,43.06,43060,121,397000,NA
07/07/2020,Andaman and Nicobar Islands,NA,NA,NA,17381,Samples Sent,147,NA,199,NA,30,Facility,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/322.pdf,https://dhs.andaman.gov.in/,NA,0.85%,43.78,43781,118,397000,NA
08/07/2020,Andaman and Nicobar Islands,NA,NA,NA,17643,Samples Sent,149,NA,208,NA,34,Facility,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/323.pdf,https://dhs.andaman.gov.in/,NA,0.84%,44.44,44441,118,397000,NA
09/07/2020,Andaman and Nicobar Islands,NA,NA,NA,17852,Samples Sent,151,NA,190,NA,19,Facility,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/324.pdf,https://dhs.andaman.gov.in/,NA,0.85%,44.97,44967,118,397000,NA
10/07/2020,Andaman and Nicobar Islands,NA,NA,NA,18046,Samples Sent,156,NA,145,NA,31,Facility,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/325.pdf,https://dhs.andaman.gov.in/,NA,0.86%,45.46,45456,116,397000,NA
11/07/2020,Andaman and Nicobar Islands,NA,NA,NA,18315,Samples Sent,163,NA,269,NA,31,Facility,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/326.pdf,https://dhs.andaman.gov.in/,NA,0.89%,46.13,46134,112,397000,NA
12/07/2020,Andaman and Nicobar Islands,NA,NA,NA,18447,Samples Sent,163,NA,132,NA,31,Facility,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/327.pdf,https://dhs.andaman.gov.in/,NA,0.88%,46.47,46466,113,397000,NA
13/07/2020,Andaman and Nicobar Islands,NA,NA,NA,18609,Samples Sent,166,NA,135,NA,31,Facility,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/328.pdf,https://dhs.andaman.gov.in/,NA,0.89%,46.87,46874,112,397000,NA
14/07/2020,Andaman and Nicobar Islands,NA,NA,NA,18884,Samples Sent,171,NA,224,NA,31,Facility,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/330.pdf,https://dhs.andaman.gov.in/,NA,0.91%,47.57,47567,110,397000,NA
15/07/2020,Andaman and Nicobar Islands,NA,NA,NA,19061,Samples Sent,176,NA,166,NA,31,Facility,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/331.pdf,https://dhs.andaman.gov.in/,NA,0.92%,48.01,48013,108,397000,NA
16/07/2020,Andaman and Nicobar Islands,NA,NA,NA,19227,Samples Sent,180,NA,115,NA,31,Facility,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/332.pdf,https://dhs.andaman.gov.in/,NA,0.94%,48.43,48431,107,397000,NA
17/07/2020,Andaman and Nicobar Islands,NA,NA,NA,19421,Samples Sent,194,NA,136,NA,NA,NA,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/333.pdf,https://dhs.andaman.gov.in/,NA,1.00%,48.92,48919,100,397000,NA
18/07/2020,Andaman and Nicobar Islands,NA,NA,NA,19671,Samples Sent,198,NA,197,NA,NA,NA,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/334.pdf,https://dhs.andaman.gov.in/,NA,1.01%,49.55,49549,99,397000,NA
19/07/2020,Andaman and Nicobar Islands,NA,NA,NA,19904,Samples Sent,203,NA,233,NA,NA,NA,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/335.pdf,https://dhs.andaman.gov.in/,NA,1.02%,50.14,50136,98,397000,NA
20/07/2020,Andaman and Nicobar Islands,NA,NA,NA,20301,Samples Sent,207,NA,330,NA,NA,NA,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/336.pdf,https://dhs.andaman.gov.in/,NA,1.02%,51.14,51136,98,397000,NA
21/07/2020,Andaman and Nicobar Islands,NA,NA,NA,20642,Samples Sent,212,NA,237,NA,NA,NA,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/337.pdf,https://dhs.andaman.gov.in/,NA,1.03%,51.99,51995,97,397000,NA
22/07/2020,Andaman and Nicobar Islands,NA,NA,NA,21043,Samples Sent,221,NA,336,NA,34,Facility,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/338.pdf,https://dhs.andaman.gov.in/,NA,1.05%,53.01,53005,95,397000,NA
23/07/2020,Andaman and Nicobar Islands,NA,NA,NA,21310,Samples Sent,240,NA,386,NA,36,Facility,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/339.pdf,https://dhs.andaman.gov.in/,NA,1.13%,53.68,53678,89,397000,NA
24/07/2020,Andaman and Nicobar Islands,NA,NA,NA,21743,Samples Sent,259,NA,571,NA,36,Facility,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/340.pdf,https://dhs.andaman.gov.in/,NA,1.19%,54.77,54768,84,397000,NA
25/07/2020,Andaman and Nicobar Islands,NA,NA,NA,21965,Samples Sent,290,NA,353,NA,37,Facility,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/341.pdf,https://dhs.andaman.gov.in/,NA,1.32%,55.33,55327,76,397000,NA
26/07/2020,Andaman and Nicobar Islands,NA,NA,NA,22049,Samples Sent,324,NA,147,NA,37,Facility,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/342.pdf,https://dhs.andaman.gov.in/,NA,1.47%,55.54,55539,68,397000,NA
27/07/2020,Andaman and Nicobar Islands,NA,NA,NA,22548,Samples Sent,338,NA,411,NA,37,Facility,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/343.pdf,https://dhs.andaman.gov.in/,NA,1.50%,56.8,56796,67,397000,NA
28/07/2020,Andaman and Nicobar Islands,NA,NA,NA,22925,Samples Sent,363,NA,378,NA,37,Facility,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/345.pdf,https://dhs.andaman.gov.in/,NA,NA,NA,NA,NA,NA,NA
29/07/2020,Andaman and Nicobar Islands,NA,NA,NA,23217,Samples Sent,428,NA,612,NA,40,Facility,NA,NA,NA,199,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/346.pdf,https://dhs.andaman.gov.in/,NA,NA,NA,NA,NA,NA,NA
30/07/2020,Andaman and Nicobar Islands,NA,NA,NA,23615,Samples Sent,471,NA,707,NA,42,Facility,NA,NA,NA,199,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/347.pdf,https://dhs.andaman.gov.in/,NA,NA,NA,NA,NA,NA,NA
31/07/2020,Andaman and Nicobar Islands,NA,NA,NA,24038,Samples Sent,548,NA,901,NA,49,Facility,NA,NA,NA,432,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/348.pdf,https://dhs.andaman.gov.in/,NA,NA,NA,NA,NA,NA,NA
01/08/2020,Andaman and Nicobar Islands,NA,NA,NA,24308,Samples Sent,636,NA,930,NA,50,Facility,NA,NA,NA,466,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/349.pdf,https://dhs.andaman.gov.in/,NA,NA,NA,NA,NA,NA,NA
02/08/2020,Andaman and Nicobar Islands,NA,NA,NA,24580,Samples Sent,734,NA,642,NA,54,Facility,NA,NA,NA,466,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/350.pdf,https://dhs.andaman.gov.in/,NA,NA,NA,NA,NA,NA,NA
03/08/2020,Andaman and Nicobar Islands,NA,NA,NA,25034,Samples Sent,830,NA,721,NA,54,Facility,NA,NA,NA,486,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/351.pdf,https://dhs.andaman.gov.in/,NA,NA,NA,NA,NA,NA,NA
04/08/2020,Andaman and Nicobar Islands,NA,NA,NA,25492,Samples Sent,928,NA,928,NA,54,Facility,NA,NA,NA,486,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/352.pdf,https://dhs.andaman.gov.in/,NA,NA,NA,NA,NA,NA,NA
05/08/2020,Andaman and Nicobar Islands,NA,NA,NA,25826,Samples Sent,1027,NA,983,NA,55,Facility,NA,NA,NA,486,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/353.pdf,https://dhs.andaman.gov.in/,NA,NA,NA,NA,NA,NA,NA
06/08/2020,Andaman and Nicobar Islands,NA,NA,NA,26516,Samples Sent,1123,NA,1376,NA,66,Facility,NA,NA,NA,486,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/354.pdf,https://dhs.andaman.gov.in/,NA,NA,NA,NA,NA,NA,NA
07/08/2020,Andaman and Nicobar Islands,NA,NA,NA,26915,Samples Sent,1222,NA,1472,NA,66,Facility,NA,NA,NA,516,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/355.pdf,https://dhs.andaman.gov.in/,NA,NA,NA,NA,NA,NA,NA
08/08/2020,Andaman and Nicobar Islands,NA,NA,NA,27073,Samples Sent,1351,NA,1208,NA,70,Facility,NA,NA,NA,516,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/356.pdf,https://dhs.andaman.gov.in/,NA,NA,NA,NA,NA,NA,NA
09/08/2020,Andaman and Nicobar Islands,NA,NA,NA,27103,Samples Sent,1490,NA,912,NA,70,Facility,NA,NA,NA,516,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/357.pdf,https://dhs.andaman.gov.in/,NA,NA,NA,NA,NA,NA,NA
10/08/2020,Andaman and Nicobar Islands,NA,NA,NA,27346,Samples Sent,1625,NA,744,NA,70,Facility,NA,NA,NA,516,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/358.pdf,https://dhs.andaman.gov.in/,NA,NA,NA,NA,NA,NA,NA
11/08/2020,Andaman and Nicobar Islands,NA,NA,NA,27455,Samples Sent,1764,NA,324,NA,70,Facility,NA,NA,NA,516,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/359.pdf,https://dhs.andaman.gov.in/,NA,NA,NA,NA,NA,NA,NA
12/08/2020,Andaman and Nicobar Islands,NA,NA,NA,27744,Samples Sent,1900,NA,144,NA,70,Facility,NA,NA,NA,516,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/360.pdf,https://dhs.andaman.gov.in/,NA,NA,NA,NA,NA,NA,NA
13/08/2020,Andaman and Nicobar Islands,NA,NA,NA,27973,Samples Sent,2037,NA,188,NA,70,Facility,NA,NA,NA,516,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/361.pdf,https://dhs.andaman.gov.in/,NA,NA,NA,NA,NA,NA,NA
14/08/2020,Andaman and Nicobar Islands,NA,NA,NA,28129,Samples Sent,2186,NA,156,NA,70,Facility,NA,NA,NA,516,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/362.pdf,https://dhs.andaman.gov.in/,NA,NA,NA,NA,NA,NA,NA
