Date	State	Cases	Deaths	Recovered
2020-03-24	ga	0	0	0
2020-03-25	ga	3	0	0
2020-03-26	ga	3	0	0
2020-03-27	ga	3	0	0
2020-03-28	ga	3	0	0
2020-03-29	ga	5	0	0
2020-03-30	ga	5	0	0
2020-03-31	ga	5	0	0
2020-04-01	ga	5	0	0
2020-04-02	ga	5	0	0
2020-04-03	ga	6	0	0
2020-04-04	ga	7	0	0
2020-04-05	ga	7	0	0
2020-04-06	ga	7	0	0
2020-04-07	ga	7	0	0
2020-04-08	ga	7	0	0
2020-04-09	ga	7	0	0
2020-03-15	gj	0	0	0
2020-03-16	gj	0	0	0
2020-03-17	gj	0	0	0
2020-03-18	gj	0	0	0
2020-03-19	gj	2	0	0
2020-03-20	gj	7	0	0
2020-03-21	gj	14	0	0
2020-03-22	gj	18	1	0
2020-03-23	gj	30	1	0
2020-03-24	gj	34	1	0
2020-03-25	gj	38	1	0
2020-03-26	gj	43	3	0
2020-03-27	gj	47	3	0
2020-03-28	gj	55	4	0
2020-03-29	gj	63	5	1
2020-03-30	gj	70	6	3
2020-03-31	gj	74	6	5
2020-04-01	gj	87	6	5
2020-04-02	gj	88	7	10
2020-04-03	gj	95	9	10
2020-04-04	gj	108	10	13
2020-04-05	gj	128	11	21
2020-04-06	gj	146	12	22
2020-04-07	gj	175	14	25
2020-04-08	gj	186	16	25
2020-04-09	gj	262	18	26
2020-03-15	hp	0	0	0
2020-03-16	hp	0	0	0
2020-03-17	hp	0	0	0
2020-03-18	hp	0	0	0
2020-03-19	hp	0	0	0
2020-03-20	hp	2	0	0
2020-03-21	hp	2	0	0
2020-03-22	hp	2	0	0
2020-03-23	hp	3	1	0
2020-03-24	hp	3	1	0
2020-03-25	hp	3	1	0
2020-03-26	hp	3	1	0
2020-03-27	hp	3	1	1
2020-03-28	hp	3	1	2
2020-03-29	hp	3	1	2
2020-03-30	hp	3	1	2
2020-03-31	hp	3	1	2
2020-04-01	hp	3	1	2
2020-04-02	hp	6	1	2
2020-04-03	hp	6	2	2
2020-04-04	hp	13	2	2
2020-04-05	hp	14	2	2
2020-04-06	hp	18	2	2
2020-04-07	hp	27	2	3
2020-04-08	hp	27	2	3
2020-04-09	hp	28	2	3
2020-03-15	hr	14	0	0
2020-03-16	hr	14	0	0
2020-03-17	hr	15	0	0
2020-03-18	hr	16	0	0
2020-03-19	hr	17	0	0
2020-03-20	hr	19	0	0
2020-03-21	hr	21	0	0
2020-03-22	hr	21	0	0
2020-03-23	hr	28	0	11
2020-03-24	hr	30	0	11
2020-03-25	hr	31	0	11
2020-03-26	hr	32	0	11
2020-03-27	hr	33	0	11
2020-03-28	hr	35	0	11
2020-03-29	hr	35	0	11
2020-03-30	hr	36	0	17
2020-03-31	hr	43	0	17
2020-04-01	hr	43	0	27
2020-04-02	hr	49	0	27
2020-04-03	hr	58	0	27
2020-04-04	hr	84	0	28
2020-04-05	hr	90	0	28
2020-04-06	hr	110	2	28
2020-04-07	hr	143	2	30
2020-04-08	hr	167	2	31
2020-04-09	hr	170	2	31
2020-03-15	jh	0	0	0
2020-03-16	jh	0	0	0
2020-03-17	jh	0	0	0
2020-03-18	jh	0	0	0
2020-03-19	jh	0	0	0
2020-03-20	jh	0	0	0
2020-03-21	jh	0	0	0
2020-03-22	jh	0	0	0
2020-03-23	jh	0	0	0
2020-03-24	jh	0	0	0
2020-03-25	jh	0	0	0
2020-03-26	jh	0	0	0
2020-03-27	jh	0	0	0
2020-03-28	jh	0	0	0
2020-03-29	jh	0	0	0
2020-03-30	jh	0	0	0
2020-03-31	jh	1	0	0
2020-04-01	jh	1	0	0
2020-04-02	jh	2	0	0
2020-04-03	jh	2	0	0
2020-04-04	jh	2	0	0
2020-04-05	jh	3	0	0
2020-04-06	jh	4	0	0
2020-04-07	jh	4	0	0
2020-04-08	jh	4	0	0
2020-04-09	jh	13	1	0
2020-03-15	jk	1	0	0
2020-03-16	jk	1	0	0
2020-03-17	jk	4	0	0
2020-03-18	jk	4	0	0
2020-03-19	jk	4	0	0
2020-03-20	jk	4	0	0
2020-03-21	jk	4	0	0
2020-03-22	jk	4	0	0
2020-03-23	jk	4	0	0
2020-03-24	jk	6	0	0
2020-03-25	jk	11	0	1
2020-03-26	jk	14	1	1
2020-03-27	jk	20	1	1
2020-03-28	jk	33	1	1
2020-03-29	jk	38	1	1
2020-03-30	jk	49	1	1
2020-03-31	jk	55	2	1
2020-04-01	jk	62	2	2
2020-04-02	jk	70	2	3
2020-04-03	jk	75	2	3
2020-04-04	jk	92	2	3
2020-04-05	jk	106	2	4
2020-04-06	jk	109	2	4
2020-04-07	jk	125	3	4
2020-04-08	jk	158	3	6
2020-04-09	jk	184	4	6
2020-03-15	ka	6	1	0
2020-03-16	ka	7	1	0
2020-03-17	ka	9	1	0
2020-03-18	ka	14	1	0
2020-03-19	ka	15	1	0
2020-03-20	ka	15	1	1
2020-03-21	ka	20	1	1
2020-03-22	ka	26	1	1
2020-03-23	ka	33	1	2
2020-03-24	ka	41	1	3
2020-03-25	ka	51	1	3
2020-03-26	ka	55	2	3
2020-03-27	ka	64	3	5
2020-03-28	ka	81	3	5
2020-03-29	ka	83	3	5
2020-03-30	ka	91	3	6
2020-03-31	ka	101	3	8
2020-04-01	ka	110	3	9
2020-04-02	ka	124	3	11
2020-04-03	ka	128	4	11
2020-04-04	ka	144	4	11
2020-04-05	ka	151	4	12
2020-04-06	ka	163	4	20
2020-04-07	ka	175	4	25
2020-04-08	ka	181	5	28
2020-04-09	ka	197	6	30
2020-03-15	kl	24	0	3
2020-03-16	kl	27	0	3
2020-03-17	kl	27	0	3
2020-03-18	kl	27	0	3
2020-03-19	kl	28	0	3
2020-03-20	kl	40	0	3
2020-03-21	kl	52	0	3
2020-03-22	kl	67	0	3
2020-03-23	kl	95	0	3
2020-03-24	kl	109	0	4
2020-03-25	kl	118	0	4
2020-03-26	kl	137	0	11
2020-03-27	kl	176	0	11
2020-03-28	kl	182	1	12
2020-03-29	kl	202	1	16
2020-03-30	kl	234	1	20
2020-03-31	kl	241	2	24
2020-04-01	kl	265	2	26
2020-04-02	kl	286	2	28
2020-04-03	kl	295	2	42
2020-04-04	kl	306	2	50
2020-04-05	kl	314	2	56
2020-04-06	kl	327	2	59
2020-04-07	kl	336	2	71
2020-04-08	kl	345	2	84
2020-04-09	kl	357	2	97
2020-03-15	la	0	0	0
2020-03-16	la	0	0	0
2020-03-17	la	0	0	0
2020-03-18	la	8	0	0
2020-03-19	la	8	0	0
2020-03-20	la	10	0	0
2020-03-21	la	13	0	0
2020-03-22	la	13	0	0
2020-03-23	la	13	0	0
2020-03-24	la	13	0	0
2020-03-25	la	13	0	0
2020-03-26	la	13	0	0
2020-03-27	la	13	0	3
2020-03-28	la	13	0	3
2020-03-29	la	13	0	3
2020-03-30	la	13	0	3
2020-03-31	la	13	0	3
2020-04-01	la	13	0	3
2020-04-02	la	13	0	3
2020-04-03	la	14	0	3
2020-04-04	la	14	0	3
2020-04-05	la	14	0	3
2020-04-06	la	14	0	10
2020-04-07	la	14	0	10
2020-04-08	la	14	0	10
2020-04-09	la	14	0	10
2020-03-15	ld	0	0	0
2020-03-16	ld	0	0	0
2020-03-17	ld	0	0	0
2020-03-18	ld	0	0	0
2020-03-19	ld	0	0	0
2020-03-20	ld	0	0	0
2020-03-21	ld	0	0	0
2020-03-22	ld	0	0	0
2020-03-23	ld	0	0	0
2020-03-24	ld	0	0	0
2020-03-25	ld	0	0	0
2020-03-26	ld	0	0	0
2020-03-27	ld	0	0	0
2020-03-28	ld	0	0	0
2020-03-29	ld	0	0	0
2020-03-30	ld	0	0	0
2020-03-31	ld	0	0	0
2020-04-01	ld	0	0	0
2020-04-02	ld	0	0	0
2020-04-03	ld	0	0	0
2020-04-04	ld	0	0	0
2020-04-05	ld	0	0	0
2020-04-06	ld	0	0	0
2020-04-07	ld	0	0	0
2020-04-08	ld	0	0	0
2020-04-09	ld	0	0	0
2020-03-15	mh	32	0	0
2020-03-16	mh	38	0	0
2020-03-17	mh	41	1	0
2020-03-18	mh	44	1	0
2020-03-19	mh	48	1	0
2020-03-20	mh	52	1	0
2020-03-21	mh	64	1	0
2020-03-22	mh	74	2	0
2020-03-23	mh	97	2	0
2020-03-24	mh	107	2	0
2020-03-25	mh	122	2	1
2020-03-26	mh	125	3	1
2020-03-27	mh	156	4	19
2020-03-28	mh	186	6	25
2020-03-29	mh	203	7	25
2020-03-30	mh	220	9	39
2020-03-31	mh	302	10	39
2020-04-01	mh	335	13	39
2020-04-02	mh	423	21	42
2020-04-03	mh	487	26	50
2020-04-04	mh	635	32	52
2020-04-05	mh	747	45	56
2020-04-06	mh	868	52	70
2020-04-07	mh	1018	64	79
2020-04-08	mh	1135	72	117
2020-04-09	mh	1364	97	125
2020-03-15	ml	0	0	0
2020-03-16	ml	0	0	0
2020-03-17	ml	0	0	0
2020-03-18	ml	0	0	0
2020-03-19	ml	0	0	0
2020-03-20	ml	0	0	0
2020-03-21	ml	0	0	0
2020-03-22	ml	0	0	0
2020-03-23	ml	0	0	0
2020-03-24	ml	0	0	0
2020-03-25	ml	0	0	0
2020-03-26	ml	0	0	0
2020-03-27	ml	0	0	0
2020-03-28	ml	0	0	0
2020-03-29	ml	0	0	0
2020-03-30	ml	0	0	0
2020-03-31	ml	0	0	0
2020-04-01	ml	0	0	0
2020-04-02	ml	0	0	0
2020-04-03	ml	0	0	0
2020-04-04	ml	0	0	0
2020-04-05	ml	0	0	0
2020-04-06	ml	0	0	0
2020-04-07	ml	0	0	0
2020-04-08	ml	0	0	0
2020-04-09	ml	0	0	0
2020-03-15	mn	0	0	0
2020-03-16	mn	0	0	0
2020-03-17	mn	0	0	0
2020-03-18	mn	0	0	0
2020-03-19	mn	0	0	0
2020-03-20	mn	0	0	0
2020-03-21	mn	0	0	0
2020-03-22	mn	0	0	0
2020-03-23	mn	0	0	0
2020-03-24	mn	1	0	0
2020-03-25	mn	1	0	0
2020-03-26	mn	1	0	0
2020-03-27	mn	1	0	0
2020-03-28	mn	1	0	0
2020-03-29	mn	1	0	0
2020-03-30	mn	1	0	0
2020-03-31	mn	1	0	0
2020-04-01	mn	1	0	0
2020-04-02	mn	2	0	0
2020-04-03	mn	2	0	0
2020-04-04	mn	2	0	0
2020-04-05	mn	2	0	0
2020-04-06	mn	2	0	1
2020-04-07	mn	2	0	1
2020-04-08	mn	2	0	1
2020-04-09	mn	2	0	1
2020-03-15	mp	0	0	0
2020-03-16	mp	0	0	0
2020-03-17	mp	0	0	0
2020-03-18	mp	0	0	0
2020-03-19	mp	0	0	0
2020-03-20	mp	4	0	0
2020-03-21	mp	4	0	0
2020-03-22	mp	6	0	0
2020-03-23	mp	6	0	0
2020-03-24	mp	7	0	0
2020-03-25	mp	15	1	0
2020-03-26	mp	20	1	0
2020-03-27	mp	29	2	0
2020-03-28	mp	39	2	0
2020-03-29	mp	39	2	0
2020-03-30	mp	47	4	0
2020-03-31	mp	66	5	0
2020-04-01	mp	98	6	0
2020-04-02	mp	107	8	0
2020-04-03	mp	154	8	0
2020-04-04	mp	179	11	0
2020-04-05	mp	193	13	3
2020-04-06	mp	256	15	11
2020-04-07	mp	290	21	21
2020-04-08	mp	341	24	25
2020-04-09	mp	411	33	25
2020-03-15	mz	0	0	0
2020-03-16	mz	0	0	0
2020-03-17	mz	0	0	0
2020-03-18	mz	0	0	0
2020-03-19	mz	0	0	0
2020-03-20	mz	0	0	0
2020-03-21	mz	0	0	0
2020-03-22	mz	0	0	0
2020-03-23	mz	0	0	0
2020-03-24	mz	0	0	0
2020-03-25	mz	1	0	0
2020-03-26	mz	1	0	0
2020-03-27	mz	1	0	0
2020-03-28	mz	1	0	0
2020-03-29	mz	1	0	0
2020-03-30	mz	1	0	0
2020-03-31	mz	1	0	0
2020-04-01	mz	1	0	0
2020-04-02	mz	1	0	0
2020-04-03	mz	1	0	0
2020-04-04	mz	1	0	0
2020-04-05	mz	1	0	0
2020-04-06	mz	1	0	0
2020-04-07	mz	1	0	0
2020-04-08	mz	1	0	0
2020-04-09	mz	1	0	0
2020-03-15	nl	0	0	0
2020-03-16	nl	0	0	0
2020-03-17	nl	0	0	0
2020-03-18	nl	0	0	0
2020-03-19	nl	0	0	0
2020-03-20	nl	0	0	0
2020-03-21	nl	0	0	0
2020-03-22	nl	0	0	0
2020-03-23	nl	0	0	0
2020-03-24	nl	0	0	0
2020-03-25	nl	0	0	0
2020-03-26	nl	0	0	0
2020-03-27	nl	0	0	0
2020-03-28	nl	0	0	0
2020-03-29	nl	0	0	0
2020-03-30	nl	0	0	0
2020-03-31	nl	0	0	0
2020-04-01	nl	0	0	0
2020-04-02	nl	0	0	0
2020-04-03	nl	0	0	0
2020-04-04	nl	0	0	0
2020-04-05	nl	0	0	0
2020-04-06	nl	0	0	0
2020-04-07	nl	0	0	0
2020-04-08	nl	0	0	0
2020-04-09	nl	0	0	0
2020-03-15	or	0	0	0
2020-03-16	or	1	0	0
2020-03-17	or	1	0	0
2020-03-18	or	2	0	0
2020-03-19	or	2	0	0
2020-03-20	or	2	0	0
2020-03-21	or	2	0	0
2020-03-22	or	2	0	0
2020-03-23	or	2	0	0
2020-03-24	or	2	0	0
2020-03-25	or	2	0	0
2020-03-26	or	3	0	0
2020-03-27	or	3	0	0
2020-03-28	or	3	0	0
2020-03-29	or	3	0	0
2020-03-30	or	3	0	0
2020-03-31	or	4	0	0
2020-04-01	or	5	0	1
2020-04-02	or	5	0	1
2020-04-03	or	20	0	2
2020-04-04	or	21	0	2
2020-04-05	or	39	0	2
2020-04-06	or	40	0	2
2020-04-07	or	42	1	2
2020-04-08	or	42	1	2
2020-04-09	or	48	1	2
2020-03-15	pb	1	0	0
2020-03-16	pb	1	0	0
2020-03-17	pb	1	0	0
2020-03-18	pb	2	0	0
2020-03-19	pb	2	1	0
2020-03-20	pb	3	1	0
2020-03-21	pb	13	1	0
2020-03-22	pb	21	1	0
2020-03-23	pb	23	1	0
2020-03-24	pb	29	1	0
2020-03-25	pb	31	1	0
2020-03-26	pb	33	1	0
2020-03-27	pb	38	1	1
2020-03-28	pb	38	1	1
2020-03-29	pb	38	1	1
2020-03-30	pb	41	3	1
2020-03-31	pb	42	4	1
2020-04-01	pb	46	4	1
2020-04-02	pb	47	5	1
2020-04-03	pb	53	5	1
2020-04-04	pb	65	5	3
2020-04-05	pb	68	7	4
2020-04-06	pb	79	7	4
2020-04-07	pb	99	8	14
2020-04-08	pb	106	9	14
2020-04-09	pb	130	10	18
2020-03-15	py	0	0	0
2020-03-16	py	1	0	0
2020-03-17	py	1	0	0
2020-03-18	py	1	0	0
2020-03-19	py	1	0	0
2020-03-20	py	1	0	0
2020-03-21	py	1	0	0
2020-03-22	py	1	0	0
2020-03-23	py	1	0	0
2020-03-24	py	1	0	0
2020-03-25	py	1	0	0
2020-03-26	py	1	0	0
2020-03-27	py	1	0	0
2020-03-28	py	1	0	0
2020-03-29	py	1	0	0
2020-03-30	py	1	0	0
2020-03-31	py	1	0	0
2020-04-01	py	3	0	0
2020-04-02	py	5	0	0
2020-04-03	py	5	0	0
2020-04-04	py	5	0	0
2020-04-05	py	5	0	0
2020-04-06	py	5	0	0
2020-04-07	py	5	0	1
2020-04-08	py	5	0	1
2020-04-09	py	5	0	1
2020-03-15	rj	4	0	3
2020-03-16	rj	4	0	3
2020-03-17	rj	4	0	3
2020-03-18	rj	7	0	3
2020-03-19	rj	9	0	3
2020-03-20	rj	17	0	3
2020-03-21	rj	24	0	3
2020-03-22	rj	28	0	3
2020-03-23	rj	32	0	3
2020-03-24	rj	32	0	3
2020-03-25	rj	38	0	3
2020-03-26	rj	40	0	3
2020-03-27	rj	50	0	3
2020-03-28	rj	54	0	3
2020-03-29	rj	59	0	3
2020-03-30	rj	79	0	3
2020-03-31	rj	93	0	3
2020-04-01	rj	120	0	3
2020-04-02	rj	133	0	3
2020-04-03	rj	179	0	3
2020-04-04	rj	206	1	25
2020-04-05	rj	266	1	25
2020-04-06	rj	301	2	25
2020-04-07	rj	343	2	25
2020-04-08	rj	383	3	45
2020-04-09	rj	463	3	60
2020-03-15	sk	0	0	0
2020-03-16	sk	0	0	0
2020-03-17	sk	0	0	0
2020-03-18	sk	0	0	0
2020-03-19	sk	0	0	0
2020-03-20	sk	0	0	0
2020-03-21	sk	0	0	0
2020-03-22	sk	0	0	0
2020-03-23	sk	0	0	0
2020-03-24	sk	0	0	0
2020-03-25	sk	0	0	0
2020-03-26	sk	0	0	0
2020-03-27	sk	0	0	0
2020-03-28	sk	0	0	0
2020-03-29	sk	0	0	0
2020-03-30	sk	0	0	0
2020-03-31	sk	0	0	0
2020-04-01	sk	0	0	0
2020-04-02	sk	0	0	0
2020-04-03	sk	0	0	0
2020-04-04	sk	0	0	0
2020-04-05	sk	0	0	0
2020-04-06	sk	0	0	0
2020-04-07	sk	0	0	0
2020-04-08	sk	0	0	0
2020-04-09	sk	0	0	0
2020-03-15	tg	3	0	1
2020-03-16	tg	4	0	1
2020-03-17	tg	5	0	1
2020-03-18	tg	13	0	1
2020-03-19	tg	16	0	1
2020-03-20	tg	19	0	1
2020-03-21	tg	21	0	1
2020-03-22	tg	27	0	1
2020-03-23	tg	33	0	1
2020-03-24	tg	37	0	1
2020-03-25	tg	41	0	1
2020-03-26	tg	44	0	1
2020-03-27	tg	59	0	1
2020-03-28	tg	67	1	1
2020-03-29	tg	70	1	1
2020-03-30	tg	77	6	14
2020-03-31	tg	97	6	14
2020-04-01	tg	127	9	14
2020-04-02	tg	154	9	17
2020-04-03	tg	229	11	32
2020-04-04	tg	272	11	33
2020-04-05	tg	334	11	33
2020-04-06	tg	364	11	45
2020-04-07	tg	404	11	45
2020-04-08	tg	453	11	45
2020-04-09	tg	471	12	45
2020-03-15	tn	1	0	0
2020-03-16	tn	1	0	1
2020-03-17	tn	1	0	1
2020-03-18	tn	2	0	1
2020-03-19	tn	3	0	1
2020-03-20	tn	3	0	1
2020-03-21	tn	6	0	1
2020-03-22	tn	9	0	1
2020-03-23	tn	12	0	1
2020-03-24	tn	18	1	1
2020-03-25	tn	26	1	1
2020-03-26	tn	29	1	1
2020-03-27	tn	38	1	2
2020-03-28	tn	42	1	2
2020-03-29	tn	50	1	2
2020-03-30	tn	67	1	4
2020-03-31	tn	124	1	6
2020-04-01	tn	234	1	6
2020-04-02	tn	309	1	6
2020-04-03	tn	411	1	6
2020-04-04	tn	485	3	8
2020-04-05	tn	571	5	8
2020-04-06	tn	621	6	13
2020-04-07	tn	690	7	19
2020-04-08	tn	738	8	21
2020-04-09	tn	834	8	27
2020-03-15	tr	0	0	0
2020-03-16	tr	0	0	0
2020-03-17	tr	0	0	0
2020-03-18	tr	0	0	0
2020-03-19	tr	0	0	0
2020-03-20	tr	0	0	0
2020-03-21	tr	0	0	0
2020-03-22	tr	0	0	0
2020-03-23	tr	0	0	0
2020-03-24	tr	0	0	0
2020-03-25	tr	0	0	0
2020-03-26	tr	0	0	0
2020-03-27	tr	0	0	0
2020-03-28	tr	0	0	0
2020-03-29	tr	0	0	0
2020-03-30	tr	0	0	0
2020-03-31	tr	0	0	0
2020-04-01	tr	0	0	0
2020-04-02	tr	0	0	0
2020-04-03	tr	0	0	0
2020-04-04	tr	0	0	0
2020-04-05	tr	0	0	0
2020-04-06	tr	1	0	0
2020-04-07	tr	1	0	0
