Updated On,State,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,Num Isolation Beds,Num ICU Beds,Num Ventilators,Corona Enquiry Calls,Num Calls State Helpline,Source1,...18,Source2,Test positivity rate,Tests per thousand,Tests per million,Tests per positive case,Population NCP 2019 Projection
02/05/2020,Andhra Pradesh,108403,Tested,1525,106878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.41%,273.06,273055,71,52221000
03/05/2020,Andhra Pradesh,114937,Tested,1583,113354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.38%,289.51,289514,73,52221000
04/05/2020,Andhra Pradesh,125229,Tested,1650,123579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.32%,315.44,315438,76,52221000
05/05/2020,Andhra Pradesh,133492,Tested,1717,131775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.29%,336.25,336252,78,52221000
06/05/2020,Andhra Pradesh,141274,Tested,1777,139497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.26%,355.85,355854,80,52221000
07/05/2020,Andhra Pradesh,149361,Tested,1833,147528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/indiacovid/4173?single,NA,NA,1.23%,376.22,376224,81,52221000
08/05/2020,Andhra Pradesh,156681,Tested,1887,154794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.20%,394.66,394662,83,52221000
09/05/2020,Andhra Pradesh,165069,Tested,1930,163139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.17%,415.79,415791,86,52221000
10/05/2020,Andhra Pradesh,173735,Tested,1980,171755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.14%,437.62,437620,88,52221000
11/05/2020,Andhra Pradesh,181144,Tested,2018,179126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.11%,456.28,456282,90,52221000
12/05/2020,Andhra Pradesh,191874,Tested,2051,189823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.07%,483.31,483310,94,52221000
13/05/2020,Andhra Pradesh,201196,Tested,2137,199059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.06%,506.79,506791,94,52221000
14/05/2020,Andhra Pradesh,210452,Tested,2100,208247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.00%,530.11,530106,100,52221000
15/05/2020,Andhra Pradesh,219490,Tested,2157,217183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,0.98%,552.87,552872,102,52221000
16/05/2020,Andhra Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52221000
17/05/2020,Andhra Pradesh,238998,Tested,2230,236618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/35,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.93%,602.01,602010,107,52221000
18/05/2020,Andhra Pradesh,248771,Tested,2282,246279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/45,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.92%,626.63,626627,109,52221000
19/05/2020,Andhra Pradesh,258450,Tested,2339,255961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/56,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.91%,651.01,651008,110,52221000
20/05/2020,Andhra Pradesh,267612,Tested,2407,265052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/67,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.90%,674.09,674086,111,52221000
21/05/2020,Andhra Pradesh,275704,Tested,2452,273099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/83?single,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.89%,694.47,694469,112,52221000
22/05/2020,Andhra Pradesh,284119,Tested,2514,281452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/103,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,NA,NA,NA
23/05/2020,Andhra Pradesh,292969,Tested,2561,290255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/114,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,NA,NA,NA
09/04/2020,Arunachal Pradesh,206,Samples Collected,1,185,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/PemaKhanduBJP/status/1248269356070363136?s=19,NA,NA,0.49%,0.52,519,206,1504000
14/04/2020,Arunachal Pradesh,280,Samples Collected,1,250,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/PemaKhanduBJP/status/1249901653634867200,NA,NA,0.36%,0.71,705,280,1504000
17/04/2020,Arunachal Pradesh,363,Samples Collected,1,338,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/PemaKhanduBJP/status/1251136883045752834,NA,NA,0.28%,0.91,914,363,1504000
18/04/2020,Arunachal Pradesh,389,Samples Collected,1,358,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/PemaKhanduBJP/status/1251485238477221889,NA,NA,0.26%,0.98,980,389,1504000
20/04/2020,Arunachal Pradesh,439,Samples Collected,1,405,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ANI/status/1252454869983608832?s=09,NA,NA,0.23%,1.11,1106,439,1504000
21/04/2020,Arunachal Pradesh,454,Samples Collected,1,433,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.22%,1.14,1144,454,1504000
22/04/2020,Arunachal Pradesh,496,Samples Collected,2,441,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.40%,1.25,1249,248,1504000
24/04/2020,Arunachal Pradesh,526,Samples Collected,2,508,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.38%,1.32,1325,263,1504000
26/04/2020,Arunachal Pradesh,568,Samples Collected,2,529,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.35%,1.43,1431,284,1504000
27/04/2020,Arunachal Pradesh,584,Samples Collected,2,566,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.34%,1.47,1471,292,1504000
28/04/2020,Arunachal Pradesh,610,Samples Collected,2,581,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.33%,1.54,1537,305,1504000
29/04/2020,Arunachal Pradesh,662,Samples Collected,2,595,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.30%,1.67,1668,331,1504000
30/04/2020,Arunachal Pradesh,694,Samples Collected,2,656,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.29%,1.75,1748,347,1504000
01/05/2020,Arunachal Pradesh,724,Samples Collected,2,692,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.28%,1.82,1824,362,1504000
02/05/2020,Arunachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1504000
03/05/2020,Arunachal Pradesh,810,Samples Collected,2,761,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.25%,2.04,2040,405,1504000
04/05/2020,Arunachal Pradesh,869,Samples Collected,2,762,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.23%,2.19,2189,435,1504000
05/05/2020,Arunachal Pradesh,970,Samples Collected,2,814,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.21%,2.44,2443,485,1504000
06/05/2020,Arunachal Pradesh,1039,Samples Collected,2,857,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.19%,2.62,2617,520,1504000
07/05/2020,Arunachal Pradesh,1144,Samples Collected,2,952,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.17%,2.88,2882,572,1504000
08/05/2020,Arunachal Pradesh,1354,Samples Collected,2,1015,337,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.15%,3.41,3411,677,1504000
09/05/2020,Arunachal Pradesh,1597,Samples Collected,2,1266,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.13%,4.02,4023,799,1504000
10/05/2020,Arunachal Pradesh,1823,Samples Collected,2,1363,458,NA,NA,NA,NA,NA,NA,NA,NA,5388,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,http://covid19.itanagarsmartcity.in/callstatus.php,0.11%,4.59,4592,912,1504000
11/05/2020,Arunachal Pradesh,2078,Samples Collected,2,1538,538,NA,NA,NA,NA,NA,NA,NA,NA,5418,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,http://covid19.itanagarsmartcity.in/callstatus.php,0.10%,5.23,5234,1039,1504000
12/05/2020,Arunachal Pradesh,2257,Samples Collected,2,1798,457,NA,NA,NA,NA,NA,NA,NA,NA,5521,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,http://covid19.itanagarsmartcity.in/callstatus.php,0.09%,5.69,5685,1129,1504000
13/05/2020,Arunachal Pradesh,2483,Samples Collected,2,1902,579,NA,NA,NA,NA,NA,NA,NA,NA,5619,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,http://covid19.itanagarsmartcity.in/callstatus.php,0.08%,6.25,6254,1242,1504000
14/05/2020,Arunachal Pradesh,2677,Samples Collected,2,2233,442,NA,NA,NA,NA,NA,NA,NA,NA,5699,https://t.me/Covid19india_Auxiliary_Test_Data/12?single,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,0.07%,6.74,6743,1339,1504000
15/05/2020,Arunachal Pradesh,2942,Samples Collected,2,2546,394,NA,NA,NA,NA,NA,NA,NA,NA,5753,https://t.me/Covid19india_Auxiliary_Test_Data/22,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,0.07%,7.41,7411,1471,1504000
16/05/2020,Arunachal Pradesh,3163,Samples Collected,2,2861,300,NA,NA,NA,NA,NA,NA,NA,NA,5806,https://t.me/Covid19india_Auxiliary_Test_Data/32,NA,http://covid19.itanagarsmartcity.in/callstatus.php,0.06%,7.97,7967,1582,1504000
17/05/2020,Arunachal Pradesh,3349,Samples Collected,2,2966,381,NA,NA,NA,NA,NA,NA,NA,NA,5851,https://t.me/Covid19india_Auxiliary_Test_Data/40,NA,http://covid19.itanagarsmartcity.in/callstatus.php,0.06%,8.44,8436,1675,1504000
18/05/2020,Arunachal Pradesh,3662,Samples Collected,2,3166,494,NA,NA,NA,NA,NA,NA,NA,NA,5906,https://t.me/Covid19india_Auxiliary_Test_Data/54,NA,http://covid19.itanagarsmartcity.in/callstatus.php,0.05%,9.22,9224,1831,1504000
19/05/2020,Arunachal Pradesh,3941,Samples Collected,2,3392,547,NA,NA,NA,NA,NA,NA,NA,NA,5944,https://t.me/Covid19india_Auxiliary_Test_Data/66,NA,http://covid19.itanagarsmartcity.in/callstatus.php,0.05%,9.93,9927,1971,1504000
20/05/2020,Arunachal Pradesh,4157,Samples Collected,2,3710,445,NA,NA,NA,NA,NA,NA,NA,NA,5977,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.05%,10.47,10471,2079,1504000
21/05/2020,Arunachal Pradesh,4438,Samples Collected,2,3963,473,NA,NA,NA,NA,NA,NA,NA,NA,6004,https://t.me/Covid19india_Auxiliary_Test_Data/90,NA,http://covid19.itanagarsmartcity.in/callstatus.php,NA,NA,NA,2219,NA
22/05/2050,Arunachal Pradesh,4844,Samples Collected,2,4211,631,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/108,NA,http://covid19.itanagarsmartcity.in/callstatus.php,NA,NA,NA,NA,NA
02/04/2020,Assam,962,Tested,16,819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/nhm_assam/status/1245742375319691264/photo/1,NA,NA,1.66%,2.42,2423,60,34293000
10/04/2020,Assam,2863,Tested,29,2685,NA,NA,NA,NA,NA,3212,440,240,NA,9245,https://t.me/indiacovid/2003?single,NA,NA,1.01%,7.21,7212,99,34293000
11/04/2020,Assam,3011,Tested,29,2842,NA,NA,NA,NA,NA,3212,440,240,NA,9514,https://t.me/indiacovid/2075?single,NA,NA,0.96%,7.58,7584,104,34293000
12/04/2020,Assam,3138,Tested,29,2973,194,NA,NA,NA,NA,3212,440,240,NA,9845,https://t.me/indiacovid/2146?single,NA,NA,0.92%,7.9,7904,108,34293000
14/04/2020,Assam,3491,Tested,31,3267,193,NA,NA,NA,NA,3212,440,240,NA,10615,https://twitter.com/nhm_assam/status/1250104916535726081/photo/1,NA,NA,0.89%,8.79,8793,113,34293000
15/04/2020,Assam,3613,Tested,32,3492,89,NA,NA,NA,NA,3212,440,240,NA,10915,https://twitter.com/nhm_assam/status/1250441490418950148/photo/1,NA,https://twitter.com/nhm_assam/status/1250441490418950148/photo/2,0.89%,9.1,9101,113,34293000
16/04/2020,Assam,4108,Tested,34,3803,NA,NA,NA,NA,NA,3338,440,303,NA,11248,https://twitter.com/nhm_assam/status/1250836057853067264?s=20,NA,NA,0.83%,10.35,10348,121,34293000
17/04/2020,Assam,4236,Tested,34,4024,NA,NA,NA,NA,NA,3338,440,303,NA,11561,https://twitter.com/nhm_assam/status/1251154796444184578,NA,NA,0.80%,10.67,10670,125,34293000
18/04/2020,Assam,4400,Tested,34,4199,NA,NA,NA,NA,NA,3338,440,303,NA,11847,https://twitter.com/nhm_assam,NA,NA,0.77%,11.08,11083,129,34293000
19/04/2020,Assam,4865,Tested,34,4584,NA,NA,NA,NA,NA,3338,440,303,NA,12148,https://twitter.com/nhm_assam/status/1251891980939825153/photo/1,NA,NA,0.70%,12.25,12254,143,34293000
20/04/2020,Assam,5112,Tested,34,4937,NA,NA,NA,NA,NA,3338,440,303,NA,12478,https://twitter.com/nhm_assam/status/1252256054907461632,NA,NA,0.67%,12.88,12877,150,34293000
21/04/2020,Assam,5514,Tested,34,5245,NA,NA,NA,NA,NA,3338,440,303,NA,12853,https://twitter.com/nhm_assam/status/1252591349670576128,NA,NA,0.62%,13.89,13889,162,34293000
24/04/2020,Assam,6680,Tested,35,6391,NA,NA,NA,NA,NA,3338,440,303,NA,14478,https://twitter.com/nhm_assam/status/1253714714485538817,NA,NA,0.52%,16.83,16826,191,34293000
25/04/2020,Assam,7159,Tested,35,6781,NA,NA,NA,NA,NA,3338,440,303,NA,14812,https://twitter.com/nhm_assam/status/1254067546023694337?s=19,NA,NA,0.49%,18.03,18033,205,34293000
26/04/2020,Assam,7823,Tested,35,7474,NA,NA,NA,NA,NA,3338,440,303,NA,15418,https://twitter.com/nhm_assam/status/1254433067911036936/photo/1,NA,NA,0.45%,19.71,19705,224,34293000
27/04/2020,Assam,8117,Tested,35,7985,NA,NA,NA,NA,NA,3338,440,303,NA,15809,https://twitter.com/nhm_assam/status/1254813929898835979,NA,NA,0.43%,20.45,20446,232,34293000
28/04/2020,Assam,NA,Tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34293000
29/04/2020,Assam,9520,Tested,37,8771,NA,NA,NA,NA,NA,3338,440,303,NA,16815,https://twitter.com/nhm_assam/status/1255530189448241159,NA,NA,0.39%,23.98,23980,257,34293000
30/04/2020,Assam,NA,Tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34293000
01/05/2020,Assam,NA,Tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34293000
02/05/2020,Assam,11623,Tested,42,10499,NA,NA,NA,NA,NA,3338,440,303,NA,18549,https://twitter.com/nhm_assam/status/1256617639985549313?s=19,NA,NA,0.36%,29.28,29277,277,34293000
03/05/2020,Assam,NA,Tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34293000
04/05/2020,Assam,12775,Tested,42,11764,NA,NA,NA,NA,NA,3338,440,303,NA,19808,https://twitter.com/nhm_assam/status/1257309042742972421?s=19,NA,NA,0.33%,32.18,32179,304,34293000
05/05/2020,Assam,13442,Tested,43,12533,NA,NA,NA,NA,NA,3338,440,303,NA,20548,https://twitter.com/nhm_assam/status/1257686398108344321,NA,NA,0.32%,33.86,33859,313,34293000
09/05/2020,Assam,16167,Tested,59,15076,NA,NA,NA,NA,NA,3338,595,332,NA,22689,https://twitter.com/nhm_assam/status/1259143253225549824?s=19,NA,NA,0.36%,40.72,40723,274,34293000
10/05/2020,Assam,18002,Tested,62,16236,NA,NA,NA,NA,NA,3338,595,332,NA,23315,https://twitter.com/nhm_assam/status/1259509134476656643?s=19,NA,NA,0.34%,45.35,45345,290,34293000
11/05/2020,Assam,19589,Tested,64,17813,NA,NA,NA,NA,NA,3338,595,332,NA,23849,https://twitter.com/nhm_assam/status/1259873813346619393,NA,NA,0.33%,49.34,49343,306,34293000
12/05/2020,Assam,21791,Tested,64,19211,NA,NA,NA,NA,NA,3338,595,332,NA,24759,https://twitter.com/nhm_assam/status/1260233750119514112,NA,NA,0.29%,54.89,54889,340,34293000
13/05/2020,Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34293000
14/05/2020,Assam,25824,Tested,86,23178,NA,NA,NA,NA,NA,3338,595,332,NA,25677,https://twitter.com/nhm_assam/status/1260970754763640833,NA,NA,0.33%,65.05,65048,300,34293000
15/05/2020,Assam,28178,Tested,86,25431,NA,NA,NA,NA,NA,3338,595,332,NA,26326,https://twitter.com/nhm_assam/status/1261333665562398722?s=19,NA,NA,0.31%,70.98,70977,328,34293000
16/05/2020,Assam,31276,Tested,91,28332,NA,NA,NA,NA,NA,3338,595,332,NA,26998,https://twitter.com/nhm_assam/status/1261711015596756992?s=19,NA,https://t.me/indiacovid/4901?single,0.29%,78.78,78781,344,34293000
17/05/2020,Assam,34376,Tested,97,32035,NA,NA,NA,NA,NA,3338,595,332,NA,26998,https://twitter.com/nhm_assam/status/1262045284873338887?s=19,NA,NA,0.28%,86.59,86589,354,34293000
18/05/2020,Assam,37898,Tested,106,35159,NA,NA,NA,NA,NA,3338,595,332,NA,27849,https://t.me/indiacovid/5078?single,NA,NA,0.28%,95.46,95461,358,34293000
19/05/2020,Assam,41116,Tested,141,38138,NA,NA,NA,NA,NA,3338,595,332,NA,28728,https://twitter.com/nhm_assam/status/1262787100228886530,NA,NA,0.34%,103.57,103567,292,34293000
20/05/2020,Assam,47084,Tested,170,42729,NA,NA,NA,NA,NA,3338,595,332,NA,29947,https://twitter.com/nhm_assam/status/1263137328869998592,NA,NA,0.36%,118.6,118599,277,34293000
21/05/2020,Assam,51730,Tested,203,46442,NA,NA,NA,NA,NA,3338,595,332,NA,30549,https://twitter.com/nhm_assam/status/1263506782728515586,NA,NA,NA,NA,NA,NA,NA
