Updated On,State,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,...12,Num Isolation Beds,Num ICU Beds,Num Ventilators,Total PPE,Total N95 Masks,Corona Enquiry Calls,Num Calls State Helpline,Source1,...21,Source2,Test positivity rate,Tests per thousand,Tests per million,Tests per positive case,Population NCP 2019 Projection
20/04/2020,Andhra Pradesh,30733,Tested,722,30011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,2.35%,0.59,589,43,52221000
21/04/2020,Andhra Pradesh,35755,Tested,757,34998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,2.12%,0.68,685,47,52221000
22/04/2020,Andhra Pradesh,41512,Tested,813,40699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.96%,0.79,795,51,52221000
23/04/2020,Andhra Pradesh,48032,Tested,893,47139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.86%,0.92,920,54,52221000
24/04/2020,Andhra Pradesh,54338,Tested,955,53383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.76%,1.04,1041,57,52221000
25/04/2020,Andhra Pradesh,61266,Tested,1016,60250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.66%,1.17,1173,60,52221000
26/04/2020,Andhra Pradesh,68034,Tested,1097,66937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.61%,1.3,1303,62,52221000
27/04/2020,Andhra Pradesh,74551,Tested,1177,73374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.58%,1.43,1428,63,52221000
28/04/2020,Andhra Pradesh,80334,Tested,1259,79075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.57%,1.54,1538,64,52221000
29/04/2020,Andhra Pradesh,88061,Tested,1332,86729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.51%,1.69,1686,66,52221000
30/04/2020,Andhra Pradesh,94558,Tested,1403,93155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.48%,1.81,1811,67,52221000
01/05/2020,Andhra Pradesh,102460,Tested,1463,100997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.43%,1.96,1962,70,52221000
02/05/2020,Andhra Pradesh,108403,Tested,1525,106878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.41%,2.08,2076,71,52221000
03/05/2020,Andhra Pradesh,114937,Tested,1583,113354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.38%,2.2,2201,73,52221000
04/05/2020,Andhra Pradesh,125229,Tested,1650,123579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.32%,2.4,2398,76,52221000
05/05/2020,Andhra Pradesh,133492,Tested,1717,131775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.29%,2.56,2556,78,52221000
06/05/2020,Andhra Pradesh,141274,Tested,1777,139497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.26%,2.71,2705,80,52221000
07/05/2020,Andhra Pradesh,149361,Tested,1833,147528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/indiacovid/4173?single,NA,NA,1.23%,2.86,2860,81,52221000
08/05/2020,Andhra Pradesh,156681,Tested,1887,154794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.20%,3,3000,83,52221000
09/05/2020,Andhra Pradesh,165069,Tested,1930,163139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.17%,3.16,3161,86,52221000
10/05/2020,Andhra Pradesh,173735,Tested,1980,171755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.14%,3.33,3327,88,52221000
11/05/2020,Andhra Pradesh,181144,Tested,2018,179126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.11%,3.47,3469,90,52221000
12/05/2020,Andhra Pradesh,191874,Tested,2051,189823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.07%,3.67,3674,94,52221000
13/05/2020,Andhra Pradesh,201196,Tested,2137,199059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.06%,3.85,3853,94,52221000
14/05/2020,Andhra Pradesh,210452,Tested,2100,208247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.00%,4.03,4030,100,52221000
15/05/2020,Andhra Pradesh,219490,Tested,2157,217183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,0.98%,4.2,4203,102,52221000
16/05/2020,Andhra Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,52221000
17/05/2020,Andhra Pradesh,238998,Tested,2230,236618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/35,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.93%,4.58,4577,107,52221000
18/05/2020,Andhra Pradesh,248771,Tested,2282,246279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/45,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.92%,4.76,4764,109,52221000
19/05/2020,Andhra Pradesh,258450,Tested,2339,255961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/56,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.91%,4.95,4949,110,52221000
20/05/2020,Andhra Pradesh,267612,Tested,2407,265052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/67,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.90%,5.12,5125,111,52221000
21/05/2020,Andhra Pradesh,275704,Tested,2452,273099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/83?single,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.89%,5.28,5280,112,52221000
22/05/2020,Andhra Pradesh,284119,Tested,2514,281452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/103,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.88%,5.44,5441,113,52221000
23/05/2020,Andhra Pradesh,292969,Tested,2561,290255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/114,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.87%,5.61,5610,114,52221000
24/05/2020,Andhra Pradesh,304326,Tested,2627,301529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/143,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.86%,5.83,5828,116,52221000
25/05/2020,Andhra Pradesh,314566,Tested,2671,311680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/150,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.85%,6.02,6024,118,52221000
26/05/2020,Andhra Pradesh,322714,Tested,2719,319731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/164,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.84%,6.18,6180,119,52221000
27/05/2020,Andhra Pradesh,332378,Tested,2787,329261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/180,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.84%,6.36,6365,119,52221000
28/05/2020,Andhra Pradesh,342236,Tested,2841,338991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/201,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.83%,6.55,6554,120,52221000
29/05/2020,Andhra Pradesh,353874,Tested,2874,350544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/215,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,0.81%,6.78,6776,123,52221000
30/05/2020,Andhra Pradesh,363378,Tested,2944,359917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/231,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,NA,NA,NA
31/05/2020,Andhra Pradesh,372748,Tested,3045,369177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/241,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,NA,NA,NA
01/06/2020,Andhra Pradesh,383315,Tested,3118,379639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/257,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,NA,NA,NA
02/06/2020,Andhra Pradesh,395681,Tested,3200,391890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/269,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,NA,NA,NA
03/06/2020,Andhra Pradesh,403747,Tested,3279,399776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/282,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,NA,NA,NA
04/06/2020,Andhra Pradesh,413733,Tested,3377,409621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/298,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,NA,NA,NA
09/04/2020,Arunachal Pradesh,206,Samples Collected,1,185,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/PemaKhanduBJP/status/1248269356070363136?s=19,NA,NA,0.49%,0.14,137,206,1504000
14/04/2020,Arunachal Pradesh,280,Samples Collected,1,250,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/PemaKhanduBJP/status/1249901653634867200,NA,NA,0.36%,0.19,186,280,1504000
17/04/2020,Arunachal Pradesh,363,Samples Collected,1,338,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/PemaKhanduBJP/status/1251136883045752834,NA,NA,0.28%,0.24,241,363,1504000
18/04/2020,Arunachal Pradesh,389,Samples Collected,1,358,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/PemaKhanduBJP/status/1251485238477221889,NA,NA,0.26%,0.26,259,389,1504000
20/04/2020,Arunachal Pradesh,439,Samples Collected,1,405,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ANI/status/1252454869983608832?s=09,NA,NA,0.23%,0.29,292,439,1504000
21/04/2020,Arunachal Pradesh,454,Samples Collected,1,433,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.22%,0.3,302,454,1504000
22/04/2020,Arunachal Pradesh,496,Samples Collected,2,441,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.40%,0.33,330,248,1504000
24/04/2020,Arunachal Pradesh,526,Samples Collected,2,508,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.38%,0.35,350,263,1504000
26/04/2020,Arunachal Pradesh,568,Samples Collected,2,529,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.35%,0.38,378,284,1504000
27/04/2020,Arunachal Pradesh,584,Samples Collected,2,566,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.34%,0.39,388,292,1504000
28/04/2020,Arunachal Pradesh,610,Samples Collected,2,581,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.33%,0.41,406,305,1504000
29/04/2020,Arunachal Pradesh,662,Samples Collected,2,595,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.30%,0.44,440,331,1504000
30/04/2020,Arunachal Pradesh,694,Samples Collected,2,656,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.29%,0.46,461,347,1504000
01/05/2020,Arunachal Pradesh,724,Samples Collected,2,692,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.28%,0.48,481,362,1504000
02/05/2020,Arunachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1504000
03/05/2020,Arunachal Pradesh,810,Samples Collected,2,761,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.25%,0.54,539,405,1504000
04/05/2020,Arunachal Pradesh,869,Samples Collected,2,762,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.23%,0.58,578,435,1504000
05/05/2020,Arunachal Pradesh,970,Samples Collected,2,814,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.21%,0.64,645,485,1504000
06/05/2020,Arunachal Pradesh,1039,Samples Collected,2,857,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.19%,0.69,691,520,1504000
07/05/2020,Arunachal Pradesh,1144,Samples Collected,2,952,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.17%,0.76,761,572,1504000
08/05/2020,Arunachal Pradesh,1354,Samples Collected,2,1015,337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.15%,0.9,900,677,1504000
09/05/2020,Arunachal Pradesh,1597,Samples Collected,2,1266,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.13%,1.06,1062,799,1504000
10/05/2020,Arunachal Pradesh,1823,Samples Collected,2,1363,458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5388,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,http://covid19.itanagarsmartcity.in/callstatus.php,0.11%,1.21,1212,912,1504000
11/05/2020,Arunachal Pradesh,2078,Samples Collected,2,1538,538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5418,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,http://covid19.itanagarsmartcity.in/callstatus.php,0.10%,1.38,1382,1039,1504000
12/05/2020,Arunachal Pradesh,2257,Samples Collected,2,1798,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5521,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,http://covid19.itanagarsmartcity.in/callstatus.php,0.09%,1.5,1501,1129,1504000
13/05/2020,Arunachal Pradesh,2483,Samples Collected,2,1902,579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5619,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,http://covid19.itanagarsmartcity.in/callstatus.php,0.08%,1.65,1651,1242,1504000
14/05/2020,Arunachal Pradesh,2677,Samples Collected,2,2233,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5699,https://t.me/Covid19india_Auxiliary_Test_Data/12?single,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,0.07%,1.78,1780,1339,1504000
15/05/2020,Arunachal Pradesh,2942,Samples Collected,2,2546,394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5753,https://t.me/Covid19india_Auxiliary_Test_Data/22,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,0.07%,1.96,1956,1471,1504000
16/05/2020,Arunachal Pradesh,3163,Samples Collected,2,2861,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5806,https://t.me/Covid19india_Auxiliary_Test_Data/32,NA,http://covid19.itanagarsmartcity.in/callstatus.php,0.06%,2.1,2103,1582,1504000
17/05/2020,Arunachal Pradesh,3349,Samples Collected,2,2966,381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5851,https://t.me/Covid19india_Auxiliary_Test_Data/40,NA,http://covid19.itanagarsmartcity.in/callstatus.php,0.06%,2.23,2227,1675,1504000
18/05/2020,Arunachal Pradesh,3662,Samples Collected,2,3166,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5906,https://t.me/Covid19india_Auxiliary_Test_Data/54,NA,http://covid19.itanagarsmartcity.in/callstatus.php,0.05%,2.43,2435,1831,1504000
19/05/2020,Arunachal Pradesh,3941,Samples Collected,2,3392,547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5944,https://t.me/Covid19india_Auxiliary_Test_Data/66,NA,http://covid19.itanagarsmartcity.in/callstatus.php,0.05%,2.62,2620,1971,1504000
20/05/2020,Arunachal Pradesh,4157,Samples Collected,2,3710,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5977,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA,0.05%,2.76,2764,2079,1504000
21/05/2020,Arunachal Pradesh,4438,Samples Collected,2,3963,473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6004,https://t.me/Covid19india_Auxiliary_Test_Data/90,NA,http://covid19.itanagarsmartcity.in/callstatus.php,0.05%,2.95,2951,2219,1504000
22/05/2020,Arunachal Pradesh,4844,Samples Collected,2,4211,631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6062,https://t.me/Covid19india_Auxiliary_Test_Data/108,NA,http://covid19.itanagarsmartcity.in/callstatus.php,0.04%,3.22,3221,2422,1504000
23/05/2020,Arunachal Pradesh,5206,Samples Collected,2,4340,864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6125,https://t.me/Covid19india_Auxiliary_Test_Data/128,NA,http://covid19.itanagarsmartcity.in/callstatus.php,0.04%,3.46,3461,2603,1504000
24/05/2020,Arunachal Pradesh,5428,Samples Collected,2,4552,873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6155,https://t.me/Covid19india_Auxiliary_Test_Data/145,NA,http://covid19.itanagarsmartcity.in/callstatus.php,0.04%,3.61,3609,2714,1504000
25/05/2020,Arunachal Pradesh,5997,Samples Collected,2,4941,1053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6169,https://t.me/Covid19india_Auxiliary_Test_Data/159,NA,"http://covid19.itanagarsmartcity.in/covidstatus.php",0.03%,3.99,3987,2999,1504000
26/05/2020,Arunachal Pradesh,6319,Samples Collected,2,5083,1233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6191,https://t.me/Covid19india_Auxiliary_Test_Data/174,NA,http://covid19.itanagarsmartcity.in/callstatus.php,0.03%,4.2,4201,3160,1504000
27/05/2020,Arunachal Pradesh,6436,Samples Collected,2,5405,1028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6221,https://t.me/Covid19india_Auxiliary_Test_Data/193,NA,http://covid19.itanagarsmartcity.in/callstatus.php,0.03%,4.28,4279,3218,1504000
28/05/2020,Arunachal Pradesh,6984,Samples Collected,3,5677,1303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6279,https://t.me/Covid19india_Auxiliary_Test_Data/216,NA,http://covid19.itanagarsmartcity.in/callstatus.php,0.04%,4.64,4644,2328,1504000
29/05/2020,Arunachal Pradesh,7488,Samples Collected,3,6268,1216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6308,https://t.me/Covid19india_Auxiliary_Test_Data/222,NA,http://covid19.itanagarsmartcity.in/callstatus.php,0.04%,4.98,4979,2496,1504000
30/05/2020,Arunachal Pradesh,8017,Samples Collected,4,6675,1335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/242,NA,http://covid19.itanagarsmartcity.in/callstatus.php,NA,NA,NA,NA,NA
