Updated On,State,"RT-PCR Test(Includes TrueNat,CBNAAT,CRISPR)",RAT(Rapid Antigen Test),Other Tests,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine...12,Tag (People in Quarantine),Total People Released From Quarantine,Total People Currently in Quarantine...15,Tag(People in Quarantine),Cumulative People in Home Isolation,Total People Currently in Isolation,Tag(People in Isolation),People released from Home Isolation,"Cases outside Home Isolation i.e Institutional Isolation,Hospital Etc.",Cumulative People in Surveillance,Total People Currently in Surveillance,Tag(People in Surveillance),People released from Surveillance,Cumulative People in Observation,People released from Observation,People on ICU Beds,People on Ventilator,People on O2 Beds,Beds Occupied(Normal/Isolation),Total Num ICU Beds,Total Num Ventilators,Total Num of O2 Beds,Total Num Beds (Normal/Isolation),Total PPE,Total N95 Masks,COVID Enquiry Calls,Number of Containment Zones,Cumulative Number of Symptomatic Cases,Cumulative Number of Asymptomatic Cases,Unknown(Nature of Cases),Tag(Nature of Cases),Male(Confirmed Cases),Female(Confirmed Cases),Transgender(Confirmed Cases),Unknown(Confirmed Cases),Male(Deceased Cases),Female(Deceased Cases),Transgender(Deceased Cases),Unknown(Deceased Cases),Source1,Source2,Source3,Source 4
04/06/2020,Andaman and Nicobar Islands,NA,NA,NA,8413,Samples Sent,33,NA,118,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/280.pdf,NA,NA,NA
05/06/2020,Andaman and Nicobar Islands,NA,NA,NA,8694,Samples Sent,33,NA,281,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/281.pdf,NA,NA,NA
06/06/2020,Andaman and Nicobar Islands,NA,NA,NA,9037,Samples Sent,33,NA,343,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/282.pdf,NA,NA,NA
07/06/2020,Andaman and Nicobar Islands,NA,NA,NA,9242,Samples Sent,33,NA,404,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/283.pdf,NA,NA,NA
08/06/2020,Andaman and Nicobar Islands,NA,NA,NA,9341,Samples Sent,33,NA,279,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/indiacovid/6803?single,NA,NA,NA
09/06/2020,Andaman and Nicobar Islands,NA,NA,NA,9859,Samples Sent,33,NA,531,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/290.pdf,NA,NA,NA
10/06/2020,Andaman and Nicobar Islands,NA,NA,NA,10010,Samples Sent,35,NA,382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/291.pdf,NA,NA,NA
11/06/2020,Andaman and Nicobar Islands,NA,NA,NA,10226,Samples Sent,38,NA,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/292.pdf,NA,NA,NA
12/06/2020,Andaman and Nicobar Islands,NA,NA,NA,10697,Samples Sent,38,NA,556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/293.pdf,NA,NA,NA
13/06/2020,Andaman and Nicobar Islands,NA,NA,NA,10955,Samples Sent,38,NA,814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/294.pdf,NA,NA,NA
14/06/2020,Andaman and Nicobar Islands,NA,NA,NA,11356,Samples Sent,38,NA,1040,NA,1,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/295.pdf,NA,NA,NA
15/06/2020,Andaman and Nicobar Islands,NA,NA,NA,11518,Samples Sent,41,NA,579,NA,4,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/296.pdf,NA,NA,NA
16/06/2020,Andaman and Nicobar Islands,NA,NA,NA,11809,Samples Sent,44,NA,719,NA,4,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/297.pdf,NA,NA,NA
17/06/2020,Andaman and Nicobar Islands,NA,NA,NA,12239,Samples Sent,44,NA,383,NA,4,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/298.pdf,NA,NA,NA
18/06/2020,Andaman and Nicobar Islands,NA,NA,NA,12622,Samples Sent,45,NA,350,NA,4,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/299.pdf,NA,NA,NA
19/06/2020,Andaman and Nicobar Islands,NA,NA,NA,12930,Samples Sent,47,NA,306,NA,4,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/300.pdf,NA,NA,NA
20/06/2020,Andaman and Nicobar Islands,NA,NA,NA,13320,Samples Sent,47,NA,372,NA,4,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/301.pdf,NA,NA,NA
21/06/2020,Andaman and Nicobar Islands,NA,NA,NA,13434,Samples Sent,48,NA,437,NA,4,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/302.pdf,NA,NA,NA
22/06/2020,Andaman and Nicobar Islands,NA,NA,NA,13511,Samples Sent,48,NA,71,NA,3,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/303.pdf,NA,NA,NA
23/06/2020,Andaman and Nicobar Islands,NA,NA,NA,13723,Samples Sent,50,NA,188,NA,3,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/304.pdf,NA,NA,NA
24/06/2020,Andaman and Nicobar Islands,NA,NA,NA,13994,Samples Sent,56,NA,265,NA,3,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/305.pdf,NA,NA,NA
25/06/2020,Andaman and Nicobar Islands,NA,NA,NA,14277,Samples Sent,59,NA,223,NA,6,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/306.pdf,NA,NA,NA
26/06/2020,Andaman and Nicobar Islands,NA,NA,NA,14583,Samples Sent,72,NA,224,NA,8,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/308.pdf,https://dhs.andaman.gov.in/,NA,NA
27/06/2020,Andaman and Nicobar Islands,NA,NA,NA,14851,Samples Sent,73,NA,217,NA,8,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/309.pdf,NA,NA,NA
28/06/2020,Andaman and Nicobar Islands,NA,NA,NA,15094,Samples Sent,83,NA,243,NA,8,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/310.pdf,NA,NA,NA
29/06/2020,Andaman and Nicobar Islands,NA,NA,NA,15410,Samples Sent,90,NA,281,NA,8,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/311.pdf,NA,NA,NA
30/06/2020,Andaman and Nicobar Islands,NA,NA,NA,15709,Samples Sent,97,NA,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/312.pdf,NA,NA,NA
01/07/2020,Andaman and Nicobar Islands,NA,NA,NA,15982,Samples Sent,100,NA,243,NA,NA,NA,NA,NA,NA,NA,0,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/313.pdf,NA,NA,NA
02/07/2020,Andaman and Nicobar Islands,NA,NA,NA,16278,Samples Sent,109,NA,254,NA,NA,NA,NA,NA,NA,NA,2,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/317.pdf,NA,NA,NA
03/07/2020,Andaman and Nicobar Islands,NA,NA,NA,16626,Samples Sent,116,NA,323,NA,NA,NA,NA,NA,NA,NA,2,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/318.pdf,https://dhs.andaman.gov.in/,NA,NA
04/07/2020,Andaman and Nicobar Islands,NA,NA,NA,16832,Samples Sent,119,NA,184,NA,28,Facility,8359,NA,NA,NA,4,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/319.pdf,https://dhs.andaman.gov.in/,NA,NA
05/07/2020,Andaman and Nicobar Islands,NA,NA,NA,16909,Samples Sent,125,NA,77,NA,30,Facility,8676,NA,NA,NA,2,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/320.pdf,https://dhs.andaman.gov.in/,NA,NA
06/07/2020,Andaman and Nicobar Islands,NA,NA,NA,17095,Samples Sent,141,NA,105,NA,30,Facility,8816,NA,NA,NA,2,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/321.pdf,https://dhs.andaman.gov.in/,NA,NA
07/07/2020,Andaman and Nicobar Islands,NA,NA,NA,17381,Samples Sent,147,NA,199,NA,30,Facility,NA,NA,NA,NA,2,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/322.pdf,https://dhs.andaman.gov.in/,NA,NA
08/07/2020,Andaman and Nicobar Islands,NA,NA,NA,17643,Samples Sent,149,NA,208,NA,34,Facility,NA,NA,NA,NA,0,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/323.pdf,https://dhs.andaman.gov.in/,NA,NA
09/07/2020,Andaman and Nicobar Islands,NA,NA,NA,17852,Samples Sent,151,NA,190,NA,19,Facility,NA,NA,NA,NA,0,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/324.pdf,https://dhs.andaman.gov.in/,NA,NA
10/07/2020,Andaman and Nicobar Islands,NA,NA,NA,18046,Samples Sent,156,NA,145,NA,31,Facility,NA,NA,NA,NA,0,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/325.pdf,https://dhs.andaman.gov.in/,NA,NA
11/07/2020,Andaman and Nicobar Islands,NA,NA,NA,18315,Samples Sent,163,NA,269,NA,31,Facility,NA,NA,NA,NA,0,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/326.pdf,https://dhs.andaman.gov.in/,NA,NA
12/07/2020,Andaman and Nicobar Islands,NA,NA,NA,18447,Samples Sent,163,NA,132,NA,31,Facility,NA,NA,NA,NA,0,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/327.pdf,https://dhs.andaman.gov.in/,NA,NA
13/07/2020,Andaman and Nicobar Islands,NA,NA,NA,18609,Samples Sent,166,NA,135,NA,31,Facility,NA,NA,NA,NA,0,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/328.pdf,https://dhs.andaman.gov.in/,NA,NA
