Country	Recovered	Confirmed	Deaths	Date
Hong Kong	0	8	0	2020-01-27
Ivory Coast	0	1	0	2020-01-27
Japan	1	4	0	2020-01-27
Macau	0	6	0	2020-01-27
Mainland China	58	2863	82	2020-01-27
Malaysia	0	4	0	2020-01-27
Nepal	0	1	0	2020-01-27
Singapore	0	5	0	2020-01-27
South Korea	0	4	0	2020-01-27
Sri Lanka	0	1	0	2020-01-27
Taiwan	0	5	0	2020-01-27
Thailand	2	8	0	2020-01-27
US	0	5	0	2020-01-27
Vietnam	0	2	0	2020-01-27
Australia	0	5	0	2020-01-28
Cambodia	0	1	0	2020-01-28
Canada	0	2	0	2020-01-28
France	0	4	0	2020-01-28
Germany	0	4	0	2020-01-28
Hong Kong	0	8	0	2020-01-28
Japan	1	7	0	2020-01-28
Macau	0	7	0	2020-01-28
Mainland China	101	5494	131	2020-01-28
Malaysia	0	4	0	2020-01-28
Nepal	0	1	0	2020-01-28
Singapore	0	7	0	2020-01-28
South Korea	0	4	0	2020-01-28
Sri Lanka	0	1	0	2020-01-28
Taiwan	0	8	0	2020-01-28
Thailand	5	14	0	2020-01-28
US	0	5	0	2020-01-28
Vietnam	0	2	0	2020-01-28
Australia	0	5	0	2020-01-29
Cambodia	0	1	0	2020-01-29
Canada	0	2	0	2020-01-29
Finland	0	1	0	2020-01-29
France	0	5	0	2020-01-29
Germany	0	4	0	2020-01-29
Hong Kong	0	10	0	2020-01-29
Japan	1	7	0	2020-01-29
Macau	0	7	0	2020-01-29
Mainland China	120	6070	133	2020-01-29
Malaysia	0	7	0	2020-01-29
Nepal	0	1	0	2020-01-29
Singapore	0	7	0	2020-01-29
South Korea	0	4	0	2020-01-29
Sri Lanka	0	1	0	2020-01-29
Taiwan	0	8	0	2020-01-29
Thailand	5	14	0	2020-01-29
United Arab Emirates	0	4	0	2020-01-29
US	0	5	0	2020-01-29
Vietnam	0	2	0	2020-01-29
Australia	2	9	0	2020-01-30
Cambodia	0	1	0	2020-01-30
Canada	0	3	0	2020-01-30
Finland	0	1	0	2020-01-30
France	0	5	0	2020-01-30
Germany	0	4	0	2020-01-30
Hong Kong	0	10	0	2020-01-30
India	0	1	0	2020-01-30
Japan	1	11	0	2020-01-30
Macau	0	7	0	2020-01-30
Mainland China	135	8124	171	2020-01-30
Malaysia	0	8	0	2020-01-30
Nepal	0	1	0	2020-01-30
Philippines	0	1	0	2020-01-30
Singapore	0	10	0	2020-01-30
South Korea	0	4	0	2020-01-30
Sri Lanka	0	1	0	2020-01-30
Taiwan	0	9	0	2020-01-30
Thailand	5	14	0	2020-01-30
United Arab Emirates	0	4	0	2020-01-30
US	0	5	0	2020-01-30
Vietnam	0	2	0	2020-01-30
Australia	2	9	0	2020-01-31
Cambodia	0	1	0	2020-01-31
Canada	0	3	0	2020-01-31
Finland	0	1	0	2020-01-31
France	0	5	0	2020-01-31
Germany	0	5	0	2020-01-31
Hong Kong	0	12	0	2020-01-31
India	0	1	0	2020-01-31
Italy	0	2	0	2020-01-31
Japan	1	15	0	2020-01-31
Macau	0	7	0	2020-01-31
Mainland China	214	9783	213	2020-01-31
Malaysia	0	8	0	2020-01-31
Nepal	0	1	0	2020-01-31
Philippines	0	1	0	2020-01-31
Russia	0	2	0	2020-01-31
Singapore	0	13	0	2020-01-31
South Korea	0	11	0	2020-01-31
Sri Lanka	0	1	0	2020-01-31
Sweden	0	1	0	2020-01-31
Taiwan	0	10	0	2020-01-31
Thailand	5	19	0	2020-01-31
UK	0	2	0	2020-01-31
United Arab Emirates	0	4	0	2020-01-31
US	0	6	0	2020-01-31
Vietnam	0	2	0	2020-01-31
Australia	2	12	0	2020-02-01
Cambodia	0	1	0	2020-02-01
Canada	0	4	0	2020-02-01
Finland	0	1	0	2020-02-01
France	0	6	0	2020-02-01
Germany	0	8	0	2020-02-01
Hong Kong	0	13	0	2020-02-01
India	0	1	0	2020-02-01
Italy	0	2	0	2020-02-01
Japan	1	20	0	2020-02-01
Macau	0	7	0	2020-02-01
Mainland China	275	11871	259	2020-02-01
Malaysia	0	8	0	2020-02-01
Nepal	0	1	0	2020-02-01
Philippines	0	1	0	2020-02-01
Russia	0	2	0	2020-02-01
Singapore	0	16	0	2020-02-01
South Korea	0	12	0	2020-02-01
Spain	0	1	0	2020-02-01
Sri Lanka	0	1	0	2020-02-01
Sweden	0	1	0	2020-02-01
Taiwan	0	10	0	2020-02-01
Thailand	5	19	0	2020-02-01
UK	0	2	0	2020-02-01
United Arab Emirates	0	4	0	2020-02-01
US	0	8	0	2020-02-01
Vietnam	1	6	0	2020-02-01
Australia	2	12	0	2020-02-02
Cambodia	0	1	0	2020-02-02
Canada	0	4	0	2020-02-02
Finland	0	1	0	2020-02-02
France	0	6	0	2020-02-02
Germany	0	10	0	2020-02-02
Hong Kong	0	15	0	2020-02-02
India	0	2	0	2020-02-02
Italy	0	2	0	2020-02-02
Japan	1	20	0	2020-02-02
Macau	0	8	0	2020-02-02
Mainland China	463	16607	361	2020-02-02
Malaysia	0	8	0	2020-02-02
Nepal	0	1	0	2020-02-02
Philippines	0	2	1	2020-02-02
Russia	0	2	0	2020-02-02
Singapore	0	18	0	2020-02-02
South Korea	0	15	0	2020-02-02
Spain	0	1	0	2020-02-02
Sri Lanka	0	1	0	2020-02-02
Sweden	0	1	0	2020-02-02
Taiwan	0	10	0	2020-02-02
Thailand	5	19	0	2020-02-02
UK	0	2	0	2020-02-02
United Arab Emirates	0	5	0	2020-02-02
US	0	8	0	2020-02-02
Vietnam	1	6	0	2020-02-02
Australia	2	12	0	2020-02-03
Cambodia	0	1	0	2020-02-03
Canada	0	4	0	2020-02-03
Finland	0	1	0	2020-02-03
France	0	6	0	2020-02-03
Germany	0	12	0	2020-02-03
Hong Kong	0	15	0	2020-02-03
India	0	3	0	2020-02-03
Italy	0	2	0	2020-02-03
Japan	1	20	0	2020-02-03
Macau	0	8	0	2020-02-03
Mainland China	614	19693	425	2020-02-03
Malaysia	0	8	0	2020-02-03
Nepal	0	1	0	2020-02-03
Philippines	0	2	1	2020-02-03
Russia	0	2	0	2020-02-03
Singapore	0	18	0	2020-02-03
South Korea	0	15	0	2020-02-03
Spain	0	1	0	2020-02-03
Sri Lanka	0	1	0	2020-02-03
Sweden	0	1	0	2020-02-03
Taiwan	0	10	0	2020-02-03
Thailand	5	19	0	2020-02-03
UK	0	2	0	2020-02-03
United Arab Emirates	0	5	0	2020-02-03
US	0	11	0	2020-02-03
Vietnam	1	8	0	2020-02-03
Australia	2	13	0	2020-02-04
Belgium	0	1	0	2020-02-04
Cambodia	0	1	0	2020-02-04
Canada	0	4	0	2020-02-04
Finland	0	1	0	2020-02-04
France	0	6	0	2020-02-04
Germany	0	12	0	2020-02-04
Hong Kong	0	17	1	2020-02-04
India	0	3	0	2020-02-04
Italy	0	2	0	2020-02-04
Japan	1	22	0	2020-02-04
Macau	0	10	0	2020-02-04
Mainland China	843	23680	490	2020-02-04
Malaysia	0	10	0	2020-02-04
Nepal	0	1	0	2020-02-04
Philippines	0	2	1	2020-02-04
Russia	0	2	0	2020-02-04
Singapore	0	24	0	2020-02-04
South Korea	0	16	0	2020-02-04
Spain	0	1	0	2020-02-04
Sri Lanka	0	1	0	2020-02-04
Sweden	0	1	0	2020-02-04
Taiwan	0	11	0	2020-02-04
Thailand	5	25	0	2020-02-04
UK	0	2	0	2020-02-04
United Arab Emirates	0	5	0	2020-02-04
US	0	11	0	2020-02-04
Vietnam	1	8	0	2020-02-04
Australia	2	13	0	2020-02-05
Belgium	0	1	0	2020-02-05
Cambodia	0	1	0	2020-02-05
Canada	0	5	0	2020-02-05
Finland	0	1	0	2020-02-05
France	0	6	0	2020-02-05
Germany	0	12	0	2020-02-05
Hong Kong	0	21	1	2020-02-05
India	0	3	0	2020-02-05
Italy	0	2	0	2020-02-05
Japan	1	22	0	2020-02-05
Macau	0	10	0	2020-02-05
Mainland China	1115	27409	562	2020-02-05
Malaysia	0	12	0	2020-02-05
Nepal	0	1	0	2020-02-05
Philippines	0	2	1	2020-02-05
Russia	0	2	0	2020-02-05
Singapore	0	28	0	2020-02-05
South Korea	0	19	0	2020-02-05
Spain	0	1	0	2020-02-05
Sri Lanka	0	1	0	2020-02-05
Sweden	0	1	0	2020-02-05
Taiwan	0	11	0	2020-02-05
Thailand	5	25	0	2020-02-05
UK	0	2	0	2020-02-05
United Arab Emirates	0	5	0	2020-02-05
US	0	12	0	2020-02-05
Vietnam	1	8	0	2020-02-05
Australia	2	14	0	2020-02-06
Belgium	0	1	0	2020-02-06
Cambodia	0	1	0	2020-02-06
Canada	0	5	0	2020-02-06
Finland	0	1	0	2020-02-06
France	0	6	0	2020-02-06
Germany	0	12	0	2020-02-06
Hong Kong	0	24	1	2020-02-06
India	0	3	0	2020-02-06
Italy	0	2	0	2020-02-06
Japan	1	45	0	2020-02-06
Macau	1	10	0	2020-02-06
Mainland China	1476	30553	632	2020-02-06
Malaysia	0	12	0	2020-02-06
Nepal	0	1	0	2020-02-06
Philippines	0	2	1	2020-02-06
Russia	0	2	0	2020-02-06
Singapore	0	28	0	2020-02-06
South Korea	0	23	0	2020-02-06
Spain	0	1	0	2020-02-06
Sri Lanka	0	1	0	2020-02-06
Sweden	0	1	0	2020-02-06
Taiwan	1	16	0	2020-02-06
Thailand	5	25	0	2020-02-06
UK	0	2	0	2020-02-06
United Arab Emirates	0	5	0	2020-02-06
US	0	12	0	2020-02-06
Vietnam	1	10	0	2020-02-06
Australia	2	15	0	2020-02-07
Belgium	0	1	0	2020-02-07
Cambodia	0	1	0	2020-02-07
Canada	0	7	0	2020-02-07
Finland	0	1	0	2020-02-07
France	0	6	0	2020-02-07
Germany	0	13	0	2020-02-07
Hong Kong	0	25	1	2020-02-07
India	0	3	0	2020-02-07
Italy	0	3	0	2020-02-07
Japan	1	25	0	2020-02-07
Macau	1	10	0	2020-02-07
Mainland China	1998	34075	717	2020-02-07
Malaysia	1	12	0	2020-02-07
Nepal	0	1	0	2020-02-07
Others	0	61	0	2020-02-07
Philippines	0	3	1	2020-02-07
Russia	0	2	0	2020-02-07
Singapore	0	30	0	2020-02-07
South Korea	1	24	0	2020-02-07
Spain	0	1	0	2020-02-07
Sri Lanka	0	1	0	2020-02-07
Sweden	0	1	0	2020-02-07
Taiwan	1	16	0	2020-02-07
Thailand	5	25	0	2020-02-07
UK	0	3	0	2020-02-07
United Arab Emirates	0	5	0	2020-02-07
US	0	12	0	2020-02-07
Vietnam	1	10	0	2020-02-07
Australia	2	15	0	2020-02-08
Belgium	0	1	0	2020-02-08
Cambodia	0	1	0	2020-02-08
Canada	0	7	0	2020-02-08
Finland	0	1	0	2020-02-08
France	0	11	0	2020-02-08
Germany	0	13	0	2020-02-08
Hong Kong	0	26	1	2020-02-08
India	0	3	0	2020-02-08
Italy	0	3	0	2020-02-08
Japan	1	25	0	2020-02-08
Macau	1	10	0	2020-02-08
Mainland China	2595	36778	804	2020-02-08
Malaysia	1	16	0	2020-02-08
Nepal	0	1	0	2020-02-08
Others	0	61	0	2020-02-08
Philippines	0	3	1	2020-02-08
Russia	0	2	0	2020-02-08
Singapore	2	33	0	2020-02-08
South Korea	1	24	0	2020-02-08
Spain	0	1	0	2020-02-08
Sri Lanka	1	1	0	2020-02-08
Sweden	0	1	0	2020-02-08
Taiwan	1	17	0	2020-02-08
Thailand	10	32	0	2020-02-08
UK	0	3	0	2020-02-08
United Arab Emirates	0	7	0	2020-02-08
US	0	12	0	2020-02-08
Vietnam	1	13	0	2020-02-08
Australia	2	15	0	2020-02-09
Belgium	0	1	0	2020-02-09
Cambodia	0	1	0	2020-02-09
Canada	0	7	0	2020-02-09
Finland	0	1	0	2020-02-09
France	0	11	0	2020-02-09
Germany	0	14	0	2020-02-09
Hong Kong	0	29	1	2020-02-09
India	0	3	0	2020-02-09
Italy	0	3	0	2020-02-09
Japan	1	26	0	2020-02-09
Macau	1	10	0	2020-02-09
Mainland China	3218	39790	904	2020-02-09
Malaysia	1	16	0	2020-02-09
Nepal	0	1	0	2020-02-09
Others	0	64	0	2020-02-09
Philippines	0	3	1	2020-02-09
Russia	0	2	0	2020-02-09
Singapore	2	40	0	2020-02-09
South Korea	3	25	0	2020-02-09
Spain	0	2	0	2020-02-09
Sri Lanka	1	1	0	2020-02-09
Sweden	0	1	0	2020-02-09
Taiwan	1	18	0	2020-02-09
Thailand	10	32	0	2020-02-09
UK	0	3	0	2020-02-09
United Arab Emirates	0	7	0	2020-02-09
US	3	12	0	2020-02-09
Vietnam	1	13	0	2020-02-09
Australia	2	15	0	2020-02-10
Belgium	0	1	0	2020-02-10
Cambodia	0	1	0	2020-02-10
Canada	0	7	0	2020-02-10
Finland	0	1	0	2020-02-10
France	0	11	0	2020-02-10
Germany	0	14	0	2020-02-10
Hong Kong	0	38	1	2020-02-10
India	0	3	0	2020-02-10
Italy	0	3	0	2020-02-10
Japan	4	26	0	2020-02-10
Macau	1	10	0	2020-02-10
Mainland China	3917	42306	1011	2020-02-10
Malaysia	1	18	0	2020-02-10
Nepal	0	1	0	2020-02-10
Others	0	135	0	2020-02-10
Philippines	0	3	1	2020-02-10
Russia	0	2	0	2020-02-10
Singapore	2	45	0	2020-02-10
South Korea	3	27	0	2020-02-10
Spain	0	2	0	2020-02-10
Sri Lanka	1	1	0	2020-02-10
Sweden	0	1	0	2020-02-10
Taiwan	1	18	0	2020-02-10
Thailand	10	32	0	2020-02-10
UK	0	8	0	2020-02-10
United Arab Emirates	0	8	0	2020-02-10
US	3	12	0	2020-02-10
Vietnam	1	14	0	2020-02-10
Australia	2	15	0	2020-02-11
Belgium	0	1	0	2020-02-11
Cambodia	0	1	0	2020-02-11
Canada	0	7	0	2020-02-11
Finland	0	1	0	2020-02-11
France	0	11	0	2020-02-11
Germany	0	16	0	2020-02-11
Hong Kong	0	49	1	2020-02-11
India	0	3	0	2020-02-11
Italy	0	3	0	2020-02-11
Japan	9	26	0	2020-02-11
Macau	1	10	0	2020-02-11
Mainland China	4635	44327	1111	2020-02-11
Malaysia	3	18	0	2020-02-11
Nepal	0	1	0	2020-02-11
Others	0	135	0	2020-02-11
Philippines	0	3	1	2020-02-11
Russia	0	2	0	2020-02-11
Singapore	9	47	0	2020-02-11
South Korea	3	28	0	2020-02-11
Spain	0	2	0	2020-02-11
Sri Lanka	1	1	0	2020-02-11
Sweden	0	1	0	2020-02-11
Taiwan	1	18	0	2020-02-11
Thailand	10	33	0	2020-02-11
UK	0	8	0	2020-02-11
United Arab Emirates	0	8	0	2020-02-11
US	3	13	0	2020-02-11
Vietnam	6	15	0	2020-02-11
Australia	2	15	0	2020-02-12
Belgium	0	1	0	2020-02-12
Cambodia	1	1	0	2020-02-12
Canada	1	7	0	2020-02-12
Finland	1	1	0	2020-02-12
France	2	11	0	2020-02-12
Germany	0	16	0	2020-02-12
Hong Kong	1	50	1	2020-02-12
India	0	3	0	2020-02-12
Italy	0	3	0	2020-02-12
Japan	9	28	0	2020-02-12
Macau	2	10	0	2020-02-12
Mainland China	5079	44699	1116	2020-02-12
Malaysia	3	18	0	2020-02-12
Nepal	1	1	0	2020-02-12
Others	0	175	0	2020-02-12
Philippines	1	3	1	2020-02-12
Russia	2	2	0	2020-02-12
Singapore	15	50	0	2020-02-12
South Korea	7	28	0	2020-02-12
Spain	0	2	0	2020-02-12
Sri Lanka	1	1	0	2020-02-12
Sweden	0	1	0	2020-02-12
Taiwan	1	18	0	2020-02-12
Thailand	10	33	0	2020-02-12
UK	1	9	0	2020-02-12
United Arab Emirates	1	8	0	2020-02-12
US	3	13	0	2020-02-12
Vietnam	6	15	0	2020-02-12
Australia	8	15	0	2020-02-13
Belgium	0	1	0	2020-02-13
Cambodia	1	1	0	2020-02-13
Canada	1	7	0	2020-02-13
Finland	1	1	0	2020-02-13
France	2	11	0	2020-02-13
Germany	1	16	0	2020-02-13
Hong Kong	1	53	1	2020-02-13
India	0	3	0	2020-02-13
Italy	0	3	0	2020-02-13
Japan	9	28	1	2020-02-13
Macau	3	10	0	2020-02-13
Mainland China	6213	59832	1368	2020-02-13
Malaysia	3	19	0	2020-02-13
Nepal	1	1	0	2020-02-13
Others	0	175	0	2020-02-13
Philippines	1	3	1	2020-02-13
Russia	2	2	0	2020-02-13
Singapore	15	58	0	2020-02-13
South Korea	7	28	0	2020-02-13
Spain	0	2	0	2020-02-13
Sri Lanka	1	1	0	2020-02-13
Sweden	0	1	0	2020-02-13
Taiwan	1	18	0	2020-02-13
Thailand	12	33	0	2020-02-13
UK	1	9	0	2020-02-13
United Arab Emirates	1	8	0	2020-02-13
US	3	15	0	2020-02-13
Vietnam	7	16	0	2020-02-13
Australia	8	15	0	2020-02-14
Belgium	0	1	0	2020-02-14
Cambodia	1	1	0	2020-02-14
Canada	1	7	0	2020-02-14
Egypt	0	1	0	2020-02-14
Finland	1	1	0	2020-02-14
France	2	11	0	2020-02-14
Germany	1	16	0	2020-02-14
Hong Kong	1	56	1	2020-02-14
India	0	3	0	2020-02-14
Italy	0	3	0	2020-02-14
Japan	9	29	1	2020-02-14
Macau	3	10	0	2020-02-14
Mainland China	7973	66292	1520	2020-02-14
Malaysia	3	19	0	2020-02-14
Nepal	1	1	0	2020-02-14
Others	0	218	0	2020-02-14
Philippines	1	3	1	2020-02-14
Russia	2	2	0	2020-02-14
Singapore	17	67	0	2020-02-14
South Korea	7	28	0	2020-02-14
Spain	0	2	0	2020-02-14
Sri Lanka	1	1	0	2020-02-14
Sweden	0	1	0	2020-02-14
Taiwan	2	18	0	2020-02-14
Thailand	12	33	0	2020-02-14
UK	1	9	0	2020-02-14
United Arab Emirates	1	8	0	2020-02-14
US	3	15	0	2020-02-14
Vietnam	7	16	0	2020-02-14
Australia	8	15	0	2020-02-15
Belgium	0	1	0	2020-02-15
Cambodia	1	1	0	2020-02-15
Canada	1	7	0	2020-02-15
Egypt	0	1	0	2020-02-15
Finland	1	1	0	2020-02-15
France	4	12	1	2020-02-15
Germany	1	16	0	2020-02-15
Hong Kong	1	56	1	2020-02-15
India	0	3	0	2020-02-15
Italy	0	3	0	2020-02-15
Japan	12	43	1	2020-02-15
Macau	3	10	0	2020-02-15
Mainland China	9294	68347	1662	2020-02-15
Malaysia	7	22	0	2020-02-15
Nepal	1	1	0	2020-02-15
Others	0	285	0	2020-02-15
Philippines	1	3	1	2020-02-15
Russia	2	2	0	2020-02-15
Singapore	18	72	0	2020-02-15
South Korea	9	28	0	2020-02-15
Spain	2	2	0	2020-02-15
Sri Lanka	1	1	0	2020-02-15
Sweden	0	1	0	2020-02-15
Taiwan	2	18	0	2020-02-15
Thailand	12	33	0	2020-02-15
UK	1	9	0	2020-02-15
United Arab Emirates	3	8	0	2020-02-15
US	3	15	0	2020-02-15
Vietnam	7	16	0	2020-02-15
Australia	8	15	0	2020-02-16
Belgium	0	1	0	2020-02-16
Cambodia	1	1	0	2020-02-16
Canada	1	7	0	2020-02-16
Egypt	0	1	0	2020-02-16
Finland	1	1	0	2020-02-16
France	4	12	1	2020-02-16
Germany	1	16	0	2020-02-16
Hong Kong	2	57	1	2020-02-16
India	3	3	0	2020-02-16
Italy	0	3	0	2020-02-16
Japan	12	59	1	2020-02-16
Macau	5	10	0	2020-02-16
Mainland China	10748	70446	1765	2020-02-16
Malaysia	7	22	0	2020-02-16
Nepal	1	1	0	2020-02-16
Others	0	355	0	2020-02-16
Philippines	1	3	1	2020-02-16
Russia	2	2	0	2020-02-16
Singapore	18	75	0	2020-02-16
South Korea	9	29	0	2020-02-16
Spain	2	2	0	2020-02-16
Sri Lanka	1	1	0	2020-02-16
Sweden	0	1	0	2020-02-16
Taiwan	2	20	1	2020-02-16
Thailand	14	34	0	2020-02-16
UK	8	9	0	2020-02-16
United Arab Emirates	4	9	0	2020-02-16
US	3	15	0	2020-02-16
Vietnam	7	16	0	2020-02-16
Australia	10	15	0	2020-02-17
Belgium	1	1	0	2020-02-17
Cambodia	1	1	0	2020-02-17
Canada	1	8	0	2020-02-17
Egypt	0	1	0	2020-02-17
Finland	1	1	0	2020-02-17
France	4	12	1	2020-02-17
Germany	1	16	0	2020-02-17
Hong Kong	2	60	1	2020-02-17
India	3	3	0	2020-02-17
Italy	0	3	0	2020-02-17
Japan	12	66	1	2020-02-17
Macau	5	10	0	2020-02-17
Mainland China	12455	72364	1863	2020-02-17
Malaysia	7	22	0	2020-02-17
Nepal	1	1	0	2020-02-17
Others	0	454	0	2020-02-17
Philippines	1	3	1	2020-02-17
Russia	2	2	0	2020-02-17
Singapore	24	77	0	2020-02-17
South Korea	10	30	0	2020-02-17
Spain	2	2	0	2020-02-17
Sri Lanka	1	1	0	2020-02-17
Sweden	0	1	0	2020-02-17
Taiwan	2	22	1	2020-02-17
Thailand	15	35	0	2020-02-17
UK	8	9	0	2020-02-17
United Arab Emirates	4	9	0	2020-02-17
US	3	15	0	2020-02-17
Vietnam	7	16	0	2020-02-17
Australia	10	15	0	2020-02-18
Belgium	1	1	0	2020-02-18
Cambodia	1	1	0	2020-02-18
Canada	1	8	0	2020-02-18
Egypt	0	1	0	2020-02-18
Finland	1	1	0	2020-02-18
France	4	12	1	2020-02-18
Germany	12	16	0	2020-02-18
Hong Kong	2	62	1	2020-02-18
India	3	3	0	2020-02-18
Italy	0	3	0	2020-02-18
Japan	13	74	1	2020-02-18
Macau	5	10	0	2020-02-18
Mainland China	14199	74139	2002	2020-02-18
Malaysia	13	22	0	2020-02-18
Nepal	1	1	0	2020-02-18
Others	0	542	0	2020-02-18
Philippines	1	3	1	2020-02-18
Russia	2	2	0	2020-02-18
Singapore	29	81	0	2020-02-18
South Korea	12	31	0	2020-02-18
Spain	2	2	0	2020-02-18
Sri Lanka	1	1	0	2020-02-18
Sweden	0	1	0	2020-02-18
Taiwan	2	22	1	2020-02-18
Thailand	15	35	0	2020-02-18
UK	8	9	0	2020-02-18
United Arab Emirates	4	9	0	2020-02-18
US	3	15	0	2020-02-18
Vietnam	7	16	0	2020-02-18
Australia	10	15	0	2020-02-19
Belgium	1	1	0	2020-02-19
Cambodia	1	1	0	2020-02-19
Canada	1	8	0	2020-02-19
Egypt	0	1	0	2020-02-19
Finland	1	1	0	2020-02-19
France	4	12	1	2020-02-19
Germany	12	16	0	2020-02-19
Hong Kong	5	63	2	2020-02-19
India	3	3	0	2020-02-19
Iran	0	2	2	2020-02-19
Italy	0	3	0	2020-02-19
Japan	18	84	1	2020-02-19
Macau	5	10	0	2020-02-19
Mainland China	15952	74546	2114	2020-02-19
Malaysia	15	22	0	2020-02-19
Nepal	1	1	0	2020-02-19
Others	1	621	0	2020-02-19
Philippines	1	3	1	2020-02-19
Russia	2	2	0	2020-02-19
Singapore	34	84	0	2020-02-19
South Korea	12	31	0	2020-02-19
Spain	2	2	0	2020-02-19
Sri Lanka	1	1	0	2020-02-19
Sweden	0	1	0	2020-02-19
Taiwan	2	23	1	2020-02-19
Thailand	15	35	0	2020-02-19
UK	8	9	0	2020-02-19
United Arab Emirates	4	9	0	2020-02-19
US	3	15	0	2020-02-19
Vietnam	7	16	0	2020-02-19
Australia	10	15	0	2020-02-20
Belgium	1	1	0	2020-02-20
Cambodia	1	1	0	2020-02-20
Canada	1	8	0	2020-02-20
Egypt	0	1	0	2020-02-20
Finland	1	1	0	2020-02-20
France	4	12	1	2020-02-20
Germany	12	16	0	2020-02-20
Hong Kong	6	68	2	2020-02-20
India	3	3	0	2020-02-20
Iran	0	5	2	2020-02-20
Italy	0	3	0	2020-02-20
Japan	18	94	1	2020-02-20
Macau	6	10	0	2020-02-20
Mainland China	18002	74999	2236	2020-02-20
Malaysia	15	22	0	2020-02-20
Nepal	1	1	0	2020-02-20
Others	1	634	2	2020-02-20
Philippines	1	3	1	2020-02-20
Russia	2	2	0	2020-02-20
Singapore	34	84	0	2020-02-20
South Korea	16	104	1	2020-02-20
Spain	2	2	0	2020-02-20
Sri Lanka	1	1	0	2020-02-20
Sweden	0	1	0	2020-02-20
Taiwan	2	24	1	2020-02-20
Thailand	15	35	0	2020-02-20
UK	8	9	0	2020-02-20
United Arab Emirates	4	9	0	2020-02-20
US	3	15	0	2020-02-20
Vietnam	7	16	0	2020-02-20
Australia	11	19	0	2020-02-21
Belgium	1	1	0	2020-02-21
Cambodia	1	1	0	2020-02-21
Canada	3	9	0	2020-02-21
Egypt	0	1	0	2020-02-21
Finland	1	1	0	2020-02-21
France	4	12	1	2020-02-21
Germany	14	16	0	2020-02-21
Hong Kong	5	68	2	2020-02-21
India	3	3	0	2020-02-21
Iran	0	18	4	2020-02-21
Israel	0	1	0	2020-02-21
Italy	0	20	1	2020-02-21
Japan	22	105	1	2020-02-21
Lebanon	0	1	0	2020-02-21
Macau	6	10	0	2020-02-21
Mainland China	18693	75472	2236	2020-02-21
Malaysia	15	22	0	2020-02-21
Nepal	1	1	0	2020-02-21
Others	1	634	2	2020-02-21
Philippines	1	3	1	2020-02-21
Russia	2	2	0	2020-02-21
Singapore	37	85	0	2020-02-21
South Korea	16	204	2	2020-02-21
Spain	2	2	0	2020-02-21
Sri Lanka	1	1	0	2020-02-21
Sweden	0	1	0	2020-02-21
Taiwan	2	26	1	2020-02-21
Thailand	17	35	0	2020-02-21
UK	8	9	0	2020-02-21
United Arab Emirates	4	9	0	2020-02-21
US	5	35	0	2020-02-21
Vietnam	14	16	0	2020-02-21
