Updated On,State,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Total People In Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,Num Isolation Beds,Num ICU Beds,Num Ventilators,Corona Enquire Calls,Num Calls State Helpline,Source,Source2,Test positivity rate,Tests per thousand,Tests per million,Population (Source: covid19india),,,
13/05/2020,Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,
14/05/2020,Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,Assam,962,Tested,16,819,,,,,,,,,,https://twitter.com/nhm_assam/status/1245742375319691264/photo/1,,1.66%,0.03,28,"34,293,000",,,
10/04/2020,Assam,2863,Tested,29,2685,,,,,3212,440,240,,9245,https://t.me/indiacovid/2003?single,,1.01%,0.08,83,,,,
11/04/2020,Assam,3011,Tested,29,2842,,,,,3212,440,240,,9514,https://t.me/indiacovid/2075?single,,0.96%,0.09,88,,,,
12/04/2020,Assam,3138,Tested,29,2973,194,,,,3212,440,240,,9845,https://t.me/indiacovid/2146?single,,0.92%,0.09,92,,,,
14/04/2020,Assam,3491,Tested,31,3267,193,10022,,,3212,440,240,,10615,https://twitter.com/nhm_assam/status/1250104916535726081/photo/1,,0.89%,0.10,102,,,,
15/04/2020,Assam,3613,Tested,32,3492,89,,,,3212,440,240,,10915,https://twitter.com/nhm_assam/status/1250441490418950148/photo/1,https://twitter.com/nhm_assam/status/1250441490418950148/photo/2,0.89%,0.11,105,,,,
16/04/2020,Assam,4108,Tested,34,3803,,,,,3338,440,303,,11248,https://twitter.com/nhm_assam/status/1250836057853067264?s=20,,0.83%,0.12,120,,,,
17/04/2020,Assam,4236,Tested,34,4024,,,,,3338,440,303,,11561,https://twitter.com/nhm_assam/status/1251154796444184578,,0.80%,0.12,124,,,,
18/04/2020,Assam,4400,Tested,34,4199,,,,,3338,440,303,,11847,https://twitter.com/nhm_assam,,0.77%,0.13,128,,,,
19/04/2020,Assam,4865,Tested,34,4584,,,,,3338,440,303,,12148,https://twitter.com/nhm_assam/status/1251891980939825153/photo/1,,0.70%,0.14,142,,,,
20/04/2020,Assam,5112,Tested,34,4937,,,,,3338,440,303,,12478,https://twitter.com/nhm_assam/status/1252256054907461632,,0.67%,0.15,149,,,,
21/04/2020,Assam,5514,Tested,34,5245,,,,,3338,440,303,,12853,https://twitter.com/nhm_assam/status/1252591349670576128,,0.62%,0.16,161,,,,
24/04/2020,Assam,6680,Tested,35,6391,,,,,3338,440,303,,14478,https://twitter.com/nhm_assam/status/1253714714485538817,,0.52%,0.19,195,,,,
25/04/2020,Assam,7159,Tested,35,6781,,,,,3338,440,303,,14812,https://twitter.com/nhm_assam/status/1254067546023694337?s=19,,0.49%,0.21,209,,,,
26/04/2020,Assam,7823,Tested,35,7474,,,,,3338,440,303,,15418,https://twitter.com/nhm_assam/status/1254433067911036936/photo/1,,0.45%,0.23,228,,,,
27/04/2020,Assam,8117,Tested,35,7985,,,,,3338,440,303,,15809,https://twitter.com/nhm_assam/status/1254813929898835979,,0.43%,0.24,237,,,,
28/04/2020,Assam,,Tested,,,,,,,,,,,,,,,0.00,0,,,,
29/04/2020,Assam,9520,Tested,37,8771,,,,,3338,440,303,,16815,https://twitter.com/nhm_assam/status/1255530189448241159,,0.39%,0.28,278,,,,
30/04/2020,Assam,,Tested,,,,,,,,,,,,,,,0.00,0,,,,
01/05/2020,Assam,,Tested,,,,,,,,,,,,,,,0.00,0,,,,
02/05/2020,Assam,11623,Tested,42,10499,,,,,3338,440,303,,18549,https://twitter.com/nhm_assam/status/1256617639985549313?s=19,,0.36%,0.34,339,,,,
03/05/2020,Assam,,Tested,,,,,,,,,,,,,,,0.00,0,,,,
04/05/2020,Assam,12775,Tested,42,11764,,,,,3338,440,303,,19808,https://twitter.com/nhm_assam/status/1257309042742972421?s=19,,0.33%,0.37,373,,,,
05/05/2020,Assam,13442,Tested,43,12533,,,,,3338,440,303,,20548,https://twitter.com/nhm_assam/status/1257686398108344321,,0.32%,0.39,392,,,,
09/05/2020,Assam,16167,Tested,59,15076,,,,,3338,595,332,,22689,https://twitter.com/nhm_assam/status/1259143253225549824?s=19,,0.36%,0.47,471,,,,
10/05/2020,Assam,18002,Tested,62,16236,,,,,3338,595,332,,23315,https://twitter.com/nhm_assam/status/1259509134476656643?s=19,,0.34%,0.52,525,,,,
11/05/2020,Assam,19589,Tested,64,17813,,,,,3338,595,332,,23849,https://twitter.com/nhm_assam/status/1259873813346619393,,0.33%,0.57,571,,,,
12/05/2020,Assam,21791,Tested,64,19211,,,,,3338,595,332,,24759,https://twitter.com/nhm_assam/status/1260233750119514112,,0.29%,0.64,635,,,,
05/04/2020,Bihar,3037,Tested,32,2299,706,,Centre,,,,,,,https://twitter.com/sanjayjavin/status/1246667952054665216,,1.05%,0.03,25,"119,520,000",,,
05/04/2020,Bihar,3037,Tested,32,2299,706,,Centre,,,,,,,,,1.05%,0.03,25,,,,
08/04/2020,Bihar,4596,Tested,38,,465,,Centre,,,,,,,https://twitter.com/sanjayjavin/status/1247762894063677440,,0.83%,0.04,38,,,,
09/04/2020,Bihar,4991,Tested,43,,394,,Centre,,,,,,,https://twitter.com/BiharHealthDept/status/1248176830856626176/photo/1,,0.86%,0.04,42,,,,
10/04/2020,Bihar,5457,Tested,60,,673,,Centre,,,,,,,https://twitter.com/BiharHealthDept/status/1248494623409885184/photo/1,,1.10%,0.05,46,,,,
11/04/2020,Bihar,6250,Tested,61,,,832,Centre,,2344,116,50,,51075,https://twitter.com/BiharHealthDept/status/1248845966158905345?s=19,https://twitter.com/BiharHealthDept/status/1248964845371674625?s=09,0.98%,0.05,52,,,,
12/04/2020,Bihar,6703,Tested,64,,618,,Centre,,2344,116,50,,,https://twitter.com/sanjayjavin/status/1249203228178296832?s=20,,0.95%,0.06,56,,,,
13/04/2020,Bihar,7263,Tested,65,,41,,Centre,,2344,116,50,,,https://t.me/indiacovid/2178?single,,0.89%,0.06,61,,,,
14/04/2020,Bihar,7727,Tested,62,,472,,Centre,,2344,116,50,,,https://twitter.com/sanjayjavin/status/1249928292519432192?s=09,,0.80%,0.06,65,,,,
15/04/2020,Bihar,8263,Tested,66,,565,,Centre,,2344,116,50,,40380,https://twitter.com/sanjayjavin/status/1250296101350957058?s=09,https://twitter.com/SHSBihar/status/1250345699780096001?s=09,0.80%,0.07,69,,,,
16/04/2020,Bihar,8846,Tested,72,,607,,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1250667064571785216?s=09,,0.81%,0.07,74,,,,
17/04/2020,Bihar,9486,Tested,83,,510,,Centre,,2344,116,50,,,https://twitter.com/sanjayjavin/status/1251023696354881537,,0.87%,0.08,79,,,,
18/04/2020,Bihar,10130,Tested,85,,512,735,Centre,,2344,116,50,,43152,https://twitter.com/BiharHealthDept/status/1251491112855973895,https://twitter.com/SHSBihar/status/1251437221179060224?s=09,0.84%,0.08,85,,,,
19/04/2020,Bihar,10745,Tested,92,,644,700,Centre,,2344,116,50,,,https://t.me/indiacovid/2664?single,,0.86%,0.09,90,,,,
20/04/2020,Bihar,11319,Tested,96,,490,802,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1252218091712524289,,0.85%,0.09,95,,,,
21/04/2020,Bihar,11999,Tested,115,,998,693,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1252564363044704256,,0.96%,0.10,100,,,,
22/04/2020,Bihar,12978,Tested,136,,1005,748,Centre,,2344,116,50,,,https://mobile.twitter.com/BiharHealthDept/status/1252933211488993280,,1.05%,0.11,109,,,,
23/04/2020,Bihar,13785,Tested,148,,1240,768,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1253330396726480901?s=19,,1.07%,0.12,115,,,,
24/04/2020,Bihar,14924,Tested,176,,1000,,Centre,,2344,116,50,,,https://twitter.com/sanjayjavin/status/1253554587811774465?s=19,https://twitter.com/BiharHealthDept/status/1254045733969330178,1.18%,0.12,125,,,,
25/04/2020,Bihar,15885,Tested,238,,898,1255,Centre,,2344,116,50,,,https://t.me/indiacovid/3178,,1.50%,0.13,133,,,,
26/04/2020,Bihar,17041,Tested,255,,1018,1427,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1254402408664363008?s=20,,1.50%,0.14,143,,,,
27/04/2020,Bihar,18179,Tested,328,,1656,1614,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1254741773257248769,,1.80%,0.15,152,,,,
28/04/2020,Bihar,19790,Tested,346,,1884,,Centre,,,,,,,https://twitter.com/BiharHealthDept/status/1255002059994210304,,1.75%,0.17,166,,,,
29/04/2020,Bihar,21180,Tested,383,,1948,2133,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1255508656205950976?s=19,,1.81%,0.18,177,,,,
30/04/2020,Bihar,22672,Tested,409,,1991,2154,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1255823491133292545,,1.80%,0.19,190,,,,
01/05/2020,Bihar,24118,Tested,466,,2326,2156,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1256207916274720769?s=20,,1.93%,0.20,202,,,,
02/05/2020,Bihar,25724,Tested,476,,2250,2112,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1256541420544024582?s=19,https://twitter.com/BiharHealthDept/status/1256473162583281666?s=19,1.85%,0.22,215,,,,
03/05/2020,Bihar,26951,Tested,485,,1346,2343,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1256919058374590464?s=19,https://twitter.com/BiharHealthDept/status/1256829872409686016?s=19,1.80%,0.23,225,,,,
04/05/2020,Bihar,28345,Tested,525,,527,1803,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1257290178265219074,https://twitter.com/sanjayjavin/status/1257177930700132353?s=19,1.85%,0.24,237,,,,
05/05/2020,Bihar,28791,Tested,529,,547,1481,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1257622689050656768?s=20,https://twitter.com/sanjayjavin/status/1257551487674322944?s=19,1.84%,0.24,241,,,,
06/05/2020,Bihar,29328,Tested,539,,464,1425,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1257989196540547072?s=20,https://twitter.com/sanjayjavin/status/1257909230872539137?s=09,1.84%,0.25,245,,,,
07/05/2020,Bihar,29841,Tested,547,,701,1466,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1258347711755104258?s=19,https://twitter.com/BiharHealthDept/status/1258294411605098502?s=19,1.83%,0.25,250,,,,
08/05/2020,Bihar,30320,Tested,564,,1007,1995,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1258741538051538944?s=19,https://twitter.com/sanjayjavin/status/1258643211679084544?s=19,1.86%,0.25,254,,,,
09/05/2020,Bihar,31552,Tested,585,,1831,2094,Centre,,2344,116,50,,,https://twitter.com/BiharHealthDept/status/1259082646530994177/photo/2,https://twitter.com/sanjayjavin/status/1258992256561958913?s=09,1.85%,0.26,264,,,,
10/05/2020,Bihar,32670,Tested,653,,2099,2244,Centre,,2344,116,50,,,https://twitter.com/SHSBihar/status/1259472954938753024?s=19,https://twitter.com/sanjayjavin/status/1259358836130869248?s=19,2.00%,0.27,273,,,,
11/05/2020,Bihar,34662,Tested,714,,2417,2204,Centre,,2344,116,50,,,https://twitter.com/SHSBihar/status/1259822193531224064,https://twitter.com/sanjayjavin/status/1259716677639581700?s=19,2.06%,0.29,290,,,,
12/05/2020,Bihar,37430,Tested,796,,2673,2376,Centre,,2344,116,50,,,https://twitter.com/SHSBihar/status/1260170113812070401,https://twitter.com/sanjayjavin/status/1260091241833758722,2.13%,0.31,313,,,,
13/05/2020,Bihar,39149,Tested,909,,2604,2587,Centre,,2344,116,50,,,https://twitter.com/SHSBihar/status/1260532080099786752,https://twitter.com/sanjayjavin/status/1260443949866586116,,,,,,,
14/05/2020,Bihar,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,Chandigarh,124,Tested,18,98,8,,,,,,,,,http://chdcovid19.in/,,14.52%,0.11,105,1179000,,,
08/04/2020,Chandigarh,184,Tested,18,162,,,,,,,,,,http://chdcovid19.in/,,9.78%,0.16,156,,,,
10/04/2020,Chandigarh,223,Tested,19,199,4,,,,,,,,,http://chdcovid19.in/,,8.52%,0.19,189,,,,
11/04/2020,Chandigarh,264,Tested,19,223,21,,,,,,,,,http://chdcovid19.in,,7.20%,0.22,224,,,,
12/04/2020,Chandigarh,279,Tested,21,247,10,,,,,,,,,http://chdcovid19.in/,,7.53%,0.24,237,,,,
13/04/2020,Chandigarh,296,Tested,21,263,11,,,,,,,,,http://chdcovid19.in,,7.09%,0.25,251,,,,
14/04/2020,Chandigarh,309,Tested,21,285,2,,,,,,,,,http://chdcovid19.in,,6.80%,0.26,262,,,,
15/04/2020,Chandigarh,317,Tested,21,293,2,,,,,,,,,http://chdcovid19.in,,6.62%,0.27,269,,,,
16/04/2020,Chandigarh,337,Tested,21,315,0,,,,,,,,,https://twitter.com/ANI/status/1250765375874072578?s=09,,6.23%,0.29,286,,,,
17/04/2020,Chandigarh,358,Tested,21,335,1,,,,,,,,,http://chdcovid19.in/,,5.87%,0.30,304,,,,
18/04/2020,Chandigarh,381,Tested,23,348,9,,,,,,,,,http://chdcovid19.in/,,6.04%,0.32,323,,,,
19/04/2020,Chandigarh,430,Tested,26,388,15,,,,,,,,,http://chdcovid19.in/,,6.05%,0.36,365,,,,
20/04/2020,Chandigarh,453,Tested,26,417,9,,,,,,,,,http://chdcovid19.in/,,5.74%,0.38,384,,,,
21/04/2020,Chandigarh,497,Tested,27,445,24,,,,,,,,,https://twitter.com/ANI/status/1252589665518936064/photo/1,,5.43%,0.42,422,,,,
22/04/2020,Chandigarh,529,Tested,27,492,9,,,,,,,,,http://chdcovid19.in/,,5.10%,0.45,449,,,,
23/04/2020,Chandigarh,599,Tested,27,557,14,,,,,,,,,http://chdcovid19.in/,,4.51%,0.51,508,,,,
24/04/2020,Chandigarh,638,Tested,27,603,7,,,,,,,,,http://chdcovid19.in/,,4.23%,0.54,541,,,,
25/04/2020,Chandigarh,734,Tested,28,668,37,,,,,,,,,http://chdcovid19.in/,,3.81%,0.62,623,,,,
26/04/2020,Chandigarh,756,Tested,30,677,48,,,,,,,,,http://chdcovid19.in/,,3.97%,0.64,641,,,,
27/04/2020,Chandigarh,843,Tested,40,777,25,,,,,,,,,http://chdcovid19.in/,,4.74%,0.72,715,,,,
28/04/2020,Chandigarh,924,Tested,56,857,10,,,,,,,,,https://t.me/indiacovid/3457,,6.06%,0.78,784,,,,
29/04/2020,Chandigarh,1012,Tested,67,922,22,,,,,,,,,http://chdcovid19.in/,,6.62%,0.86,858,,,,
30/04/2020,Chandigarh,1147,Tested,74,1022,50,,,,,,,,,http://chdcovid19.in/,,6.45%,0.97,973,,,,
01/05/2020,Chandigarh,1252,Tested,88,1131,32,,,,,,,,,http://chdcovid19.in/,,7.03%,1.06,1062,,,,
02/05/2020,Chandigarh,1462,Tested,94,1339,28,,,,,,,,,http://chdcovid19.in/,,6.43%,1.24,1240,,,,
03/05/2020,Chandigarh,1616,Tested,97,1491,27,,,,,,,,,https://t.me/indiacovid/3951,,6.00%,1.37,1371,,,,
04/05/2020,Chandigarh,1678,Tested,102,1545,30,,,,,,,,,http://chdcovid19.in/,,6.08%,1.42,1423,,,,
05/05/2020,Chandigarh,1713,Tested,115,1576,21,,,,,,,,,https://t.me/indiacovid/4059?single,,6.71%,1.45,1453,,,,
06/05/2020,Chandigarh,1785,Tested,120,1641,23,,,,,,,,,http://chdcovid19.in/,,6.72%,1.51,1514,,,,
07/05/2020,Chandigarh,1845,Tested,129,1698,17,,,,,,,,,http://chdcovid19.in/,https://t.me/indiacovid/4186,6.99%,1.56,1565,,,,
08/05/2020,Chandigarh,1913,Tested,146,1748,18,,,,,,,,,http://chdcovid19.in/,https://t.me/indiacovid/4258,7.63%,1.62,1623,,,,
09/05/2020,Chandigarh,2055,Tested,169,1871,14,,,,,,,,,https://t.me/indiacovid/4376?single,http://chdcovid19.in/,8.22%,1.74,1743,,,,
10/05/2020,Chandigarh,2142,Tested,173,1947,21,,,,,,,,,http://chdcovid19.in/,https://t.me/indiacovid/4443,8.08%,1.82,1817,,,,
11/05/2020,Chandigarh,2177,Tested,173,1978,25,,,,,,,,,http://chdcovid19.in/,,7.95%,1.85,1846,,,,
12/05/2020,Chandigarh,2276,Tested,187,2069,19,,,,,,,,,http://chdcovid19.in/,,8.22%,1.93,1930,,,,
13/05/2020,Chandigarh,2420,Tested,189,2206,24,,,,,,,,,http://chdcovid19.in/,,7.81%,2.05,2053,,,,
02/04/2020,Chhattisgarh,1232,Tested,9,921,302,,,,,,,,,http://www.cghealth.nic.in/cghealth17/,,0.73%,0.04,43,28724000,,,
