Updated On,State,"RT-PCR Test(Includes TrueNat,CBNAAT,CRISPR)",RAT(Rapid Antigen Test),Other Tests,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine...12,Tag (People in Quarantine),Total People Released From Quarantine,Total People Currently in Quarantine...15,Tag(People in Quarantine),Cumulative People in Home Isolation,Total People Currently in Isolation,Tag(People in Isolation),People released from Home Isolation,"Cases outside Home Isolation i.e Institutional Isolation,Hospital Etc.",Cumulative People in Surveillance,Total People Currently in Surveillance,Tag(People in Surveillance),People released from Surveillance,Cumilative People in Observation,People released from Observation,People on ICU Beds,People on Ventilator,People on O2 Beds,Beds Occupied(Normal/Isolation),Total Num ICU Beds,Total Num Ventilators,Total Num of O2 Beds,Total Num Beds (Normal/Isolation),Total PPE,Total N95 Masks,COVID Enquiry Calls,Number of Containment Zones,Cumuilative Number of Symptomatic Cases,Cumuilative Number of Asymptomatic Cases,Unknown(Nature of Cases),Tag(Nature of Cases),Male(Confirmed Cases),Female(Confirmed Cases),Transgender(Confirmed Cases),Unknown(Confirmed Cases),Male(Deceased Cases),Female(Deceased Cases),Transgender(Deceased Cases),Unknown(Deceased Cases),Source1,Source2,Source3
20/06/2020,Andaman and Nicobar Islands,NA,NA,NA,13320,Samples Sent,47,NA,372,NA,4,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/301.pdf,NA,NA
21/06/2020,Andaman and Nicobar Islands,NA,NA,NA,13434,Samples Sent,48,NA,437,NA,4,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/302.pdf,NA,NA
22/06/2020,Andaman and Nicobar Islands,NA,NA,NA,13511,Samples Sent,48,NA,71,NA,3,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/303.pdf,NA,NA
23/06/2020,Andaman and Nicobar Islands,NA,NA,NA,13723,Samples Sent,50,NA,188,NA,3,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/304.pdf,NA,NA
24/06/2020,Andaman and Nicobar Islands,NA,NA,NA,13994,Samples Sent,56,NA,265,NA,3,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/305.pdf,NA,NA
25/06/2020,Andaman and Nicobar Islands,NA,NA,NA,14277,Samples Sent,59,NA,223,NA,6,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/306.pdf,NA,NA
26/06/2020,Andaman and Nicobar Islands,NA,NA,NA,14583,Samples Sent,72,NA,224,NA,8,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/308.pdf,https://dhs.andaman.gov.in/,NA
27/06/2020,Andaman and Nicobar Islands,NA,NA,NA,14851,Samples Sent,73,NA,217,NA,8,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/309.pdf,NA,NA
28/06/2020,Andaman and Nicobar Islands,NA,NA,NA,15094,Samples Sent,83,NA,243,NA,8,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/310.pdf,NA,NA
29/06/2020,Andaman and Nicobar Islands,NA,NA,NA,15410,Samples Sent,90,NA,281,NA,8,Institutional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/311.pdf,NA,NA
30/06/2020,Andaman and Nicobar Islands,NA,NA,NA,15709,Samples Sent,97,NA,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/312.pdf,NA,NA
01/07/2020,Andaman and Nicobar Islands,NA,NA,NA,15982,Samples Sent,100,NA,243,NA,NA,NA,NA,NA,NA,NA,0,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/313.pdf,NA,NA
02/07/2020,Andaman and Nicobar Islands,NA,NA,NA,16278,Samples Sent,109,NA,254,NA,NA,NA,NA,NA,NA,NA,2,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/317.pdf,NA,NA
03/07/2020,Andaman and Nicobar Islands,NA,NA,NA,16626,Samples Sent,116,NA,323,NA,NA,NA,NA,NA,NA,NA,2,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/318.pdf,https://dhs.andaman.gov.in/,NA
04/07/2020,Andaman and Nicobar Islands,NA,NA,NA,16832,Samples Sent,119,NA,184,NA,28,Facility,8359,NA,NA,NA,4,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/319.pdf,https://dhs.andaman.gov.in/,NA
05/07/2020,Andaman and Nicobar Islands,NA,NA,NA,16909,Samples Sent,125,NA,77,NA,30,Facility,8676,NA,NA,NA,2,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/320.pdf,https://dhs.andaman.gov.in/,NA
06/07/2020,Andaman and Nicobar Islands,NA,NA,NA,17095,Samples Sent,141,NA,105,NA,30,Facility,8816,NA,NA,NA,2,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/321.pdf,https://dhs.andaman.gov.in/,NA
07/07/2020,Andaman and Nicobar Islands,NA,NA,NA,17381,Samples Sent,147,NA,199,NA,30,Facility,NA,NA,NA,NA,2,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/322.pdf,https://dhs.andaman.gov.in/,NA
08/07/2020,Andaman and Nicobar Islands,NA,NA,NA,17643,Samples Sent,149,NA,208,NA,34,Facility,NA,NA,NA,NA,0,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/323.pdf,https://dhs.andaman.gov.in/,NA
09/07/2020,Andaman and Nicobar Islands,NA,NA,NA,17852,Samples Sent,151,NA,190,NA,19,Facility,NA,NA,NA,NA,0,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/324.pdf,https://dhs.andaman.gov.in/,NA
10/07/2020,Andaman and Nicobar Islands,NA,NA,NA,18046,Samples Sent,156,NA,145,NA,31,Facility,NA,NA,NA,NA,0,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/325.pdf,https://dhs.andaman.gov.in/,NA
11/07/2020,Andaman and Nicobar Islands,NA,NA,NA,18315,Samples Sent,163,NA,269,NA,31,Facility,NA,NA,NA,NA,0,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/326.pdf,https://dhs.andaman.gov.in/,NA
12/07/2020,Andaman and Nicobar Islands,NA,NA,NA,18447,Samples Sent,163,NA,132,NA,31,Facility,NA,NA,NA,NA,0,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/327.pdf,https://dhs.andaman.gov.in/,NA
13/07/2020,Andaman and Nicobar Islands,NA,NA,NA,18609,Samples Sent,166,NA,135,NA,31,Facility,NA,NA,NA,NA,0,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/328.pdf,https://dhs.andaman.gov.in/,NA
14/07/2020,Andaman and Nicobar Islands,NA,NA,NA,18884,Samples Sent,171,NA,224,NA,31,Facility,NA,NA,NA,NA,0,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhs.andaman.gov.in/NewEvents/330.pdf,https://dhs.andaman.gov.in/,NA
