date,variable,value,text
2022-07-26,death_daily_reported,26.7307692307692,    27 daily deaths on 2022-07-26
2022-07-27,death_daily_reported,28.6538461538462,    29 daily deaths on 2022-07-27
2022-07-28,death_daily_reported,29.2307692307692,    29 daily deaths on 2022-07-28
2022-07-29,death_daily_reported,29.1153846153846,    29 daily deaths on 2022-07-29
2022-07-30,death_daily_reported,26.6153846153846,    27 daily deaths on 2022-07-30
2022-07-31,death_daily_reported,31.1923076923077,    31 daily deaths on 2022-07-31
2022-08-01,death_daily_reported,33.2692307692308,    33 daily deaths on 2022-08-01
2022-08-02,death_daily_reported,30.2692307692308,    30 daily deaths on 2022-08-02
2022-08-03,death_daily_reported,34.5384615384615,    35 daily deaths on 2022-08-03
2022-08-04,death_daily_reported,31.5769230769231,    32 daily deaths on 2022-08-04
2022-08-05,death_daily_reported,32.6923076923077,    33 daily deaths on 2022-08-05
2022-08-06,death_daily_reported,34.8461538461538,    35 daily deaths on 2022-08-06
2022-08-07,death_daily_reported,36.0769230769231,    36 daily deaths on 2022-08-07
2022-08-08,death_daily_reported,34.5384615384615,    35 daily deaths on 2022-08-08
2022-08-09,death_daily_reported,35.1153846153846,    35 daily deaths on 2022-08-09
2022-08-10,death_daily_reported,35.6153846153846,    36 daily deaths on 2022-08-10
2022-08-11,death_daily_reported,35.9230769230769,    36 daily deaths on 2022-08-11
2022-08-12,death_daily_reported,35.8846153846154,    36 daily deaths on 2022-08-12
2022-08-13,death_daily_reported,38.2692307692308,    38 daily deaths on 2022-08-13
