Updated On,State,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,People in ICU,People on Ventilators,Num Isolation Beds,Num ICU Beds,Num Ventilators,Total PPE,Total N95 Masks,Corona Enquiry Calls,Num Calls State Helpline,Source1,Source2,...23,Test positivity rate,Tests per thousand,Tests per million,Tests per positive case,Population NCP 2019 Projection
13/04/2020,Andhra Pradesh,8755,Tested,432,8323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,4.93%,0.17,168,20,52221000
14/04/2020,Andhra Pradesh,10505,Tested,473,10032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,4.50%,0.2,201,22,52221000
15/04/2020,Andhra Pradesh,11613,Tested,525,11088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,4.52%,0.22,222,22,52221000
16/04/2020,Andhra Pradesh,20235,Tested,534,19701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,2.64%,0.39,387,38,52221000
17/04/2020,Andhra Pradesh,20235,Tested,572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,https://t.me/indiacovid/2474,NA,2.83%,0.39,387,35,52221000
18/04/2020,Andhra Pradesh,21450,Tested,603,20487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,2.81%,0.41,411,36,52221000
19/04/2020,Andhra Pradesh,26958,Tested,647,26311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,2.40%,0.52,516,42,52221000
20/04/2020,Andhra Pradesh,30733,Tested,722,30011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,2.35%,0.59,589,43,52221000
21/04/2020,Andhra Pradesh,35755,Tested,757,34998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,2.12%,0.68,685,47,52221000
22/04/2020,Andhra Pradesh,41512,Tested,813,40699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.96%,0.79,795,51,52221000
23/04/2020,Andhra Pradesh,48032,Tested,893,47139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.86%,0.92,920,54,52221000
24/04/2020,Andhra Pradesh,54338,Tested,955,53383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.76%,1.04,1041,57,52221000
25/04/2020,Andhra Pradesh,61266,Tested,1016,60250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.66%,1.17,1173,60,52221000
26/04/2020,Andhra Pradesh,68034,Tested,1097,66937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.61%,1.3,1303,62,52221000
27/04/2020,Andhra Pradesh,74551,Tested,1177,73374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.58%,1.43,1428,63,52221000
28/04/2020,Andhra Pradesh,80334,Tested,1259,79075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.57%,1.54,1538,64,52221000
29/04/2020,Andhra Pradesh,88061,Tested,1332,86729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.51%,1.69,1686,66,52221000
30/04/2020,Andhra Pradesh,94558,Tested,1403,93155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.48%,1.81,1811,67,52221000
01/05/2020,Andhra Pradesh,102460,Tested,1463,100997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.43%,1.96,1962,70,52221000
02/05/2020,Andhra Pradesh,108403,Tested,1525,106878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.41%,2.08,2076,71,52221000
03/05/2020,Andhra Pradesh,114937,Tested,1583,113354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.38%,2.2,2201,73,52221000
04/05/2020,Andhra Pradesh,125229,Tested,1650,123579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.32%,2.4,2398,76,52221000
05/05/2020,Andhra Pradesh,133492,Tested,1717,131775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.29%,2.56,2556,78,52221000
06/05/2020,Andhra Pradesh,141274,Tested,1777,139497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.26%,2.71,2705,80,52221000
07/05/2020,Andhra Pradesh,149361,Tested,1833,147528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/indiacovid/4173?single,NA,NA,1.23%,2.86,2860,81,52221000
08/05/2020,Andhra Pradesh,156681,Tested,1887,154794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.20%,3,3000,83,52221000
09/05/2020,Andhra Pradesh,165069,Tested,1930,163139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.17%,3.16,3161,86,52221000
10/05/2020,Andhra Pradesh,173735,Tested,1980,171755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.14%,3.33,3327,88,52221000
11/05/2020,Andhra Pradesh,181144,Tested,2018,179126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.11%,3.47,3469,90,52221000
12/05/2020,Andhra Pradesh,191874,Tested,2051,189823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.07%,3.67,3674,94,52221000
13/05/2020,Andhra Pradesh,201196,Tested,2137,199059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.06%,3.85,3853,94,52221000
14/05/2020,Andhra Pradesh,210452,Tested,2100,208247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,1.00%,4.03,4030,100,52221000
15/05/2020,Andhra Pradesh,219490,Tested,2157,217183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,NA,0.98%,4.2,4203,102,52221000
16/05/2020,Andhra Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,52221000
17/05/2020,Andhra Pradesh,238998,Tested,2230,236618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/35,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,0.93%,4.58,4577,107,52221000
18/05/2020,Andhra Pradesh,248771,Tested,2282,246279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/45,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,0.92%,4.76,4764,109,52221000
19/05/2020,Andhra Pradesh,258450,Tested,2339,255961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/56,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,0.91%,4.95,4949,110,52221000
20/05/2020,Andhra Pradesh,267612,Tested,2407,265052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/67,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,0.90%,5.12,5125,111,52221000
21/05/2020,Andhra Pradesh,275704,Tested,2452,273099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/83?single,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,0.89%,5.28,5280,112,52221000
22/05/2020,Andhra Pradesh,284119,Tested,2514,281452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/103,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,0.88%,5.44,5441,113,52221000
23/05/2020,Andhra Pradesh,292969,Tested,2561,290255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/114,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,0.87%,5.61,5610,114,52221000
24/05/2020,Andhra Pradesh,304326,Tested,2627,301529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/143,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,0.86%,5.83,5828,116,52221000
25/05/2020,Andhra Pradesh,314566,Tested,2671,311680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/150,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,0.85%,6.02,6024,118,52221000
26/05/2020,Andhra Pradesh,322714,Tested,2719,319731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/164,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,0.84%,6.18,6180,119,52221000
27/05/2020,Andhra Pradesh,332378,Tested,2787,329261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/180,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,0.84%,6.36,6365,119,52221000
28/05/2020,Andhra Pradesh,342236,Tested,2841,338991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/201,http://hmfw.ap.gov.in/covid_dashboard.aspx,NA,0.83%,6.55,6554,120,52221000
